wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
27,-46,-27,-926,7145,-3877,20,-43,2,2192,7759,-850,-59,-29,11,7016,-1164,-3273,-160,-96,20,6715,278,-3941,0.3372434079647064,2.0,0.6744868159294128,804502.0
-34,36,-82,-982,7025,-4077,27,164,-65,2469,7808,-1311,43,-1,-29,6995,-1129,-3580,-63,-46,-34,6804,110,-3952,0.32258063554763794,2.0,0.6451612710952759,769693.0
-49,72,-83,-1021,7055,-4099,24,192,-76,2378,7823,-1274,60,14,-32,6995,-1101,-3582,-60,-40,-28,6848,98,-3954,0.32258063554763794,2.0,0.6451612710952759,769707.0
-59,86,-80,-987,7008,-4080,14,181,-75,2349,7787,-1277,68,29,-42,6980,-1121,-3590,-87,-37,-31,6850,57,-3970,0.3176930546760559,2.0,0.6353861093521118,758044.0
-67,98,-83,-993,7026,-4109,2,157,-53,2321,7765,-1277,77,32,-45,6969,-1154,-3633,-116,-15,-27,6841,1,-3954,0.32258063554763794,2.0,0.6451612710952759,769707.0
-80,130,-73,-954,6948,-4089,3,134,-38,2326,7795,-1279,93,4,-48,6937,-1181,-3651,-102,-8,-21,6767,-15,-3906,0.34213098883628845,2.0,0.6842619776725769,816356.0
-55,111,-64,-1024,7072,-4109,9,104,-34,2325,7770,-1289,97,-9,-25,6984,-1190,-3626,-55,-6,-18,6753,-36,-3871,0.3030303120613098,2.0,0.6060606241226196,723058.0
-65,135,-52,-935,6976,-4168,12,99,-34,2333,7766,-1230,110,6,-17,6962,-1192,-3602,17,-10,-17,6738,12,-3903,0.3176930546760559,2.0,0.6353861093521118,758044.0
-67,125,-43,-973,7011,-4063,8,69,-27,2323,7755,-1233,100,3,-15,6954,-1121,-3580,45,-24,-17,6759,79,-3964,0.32746821641921997,2.0,0.6549364328384399,781369.0
-71,98,-33,-981,7000,-4050,2,18,-10,2324,7774,-1235,79,10,-10,6969,-1118,-3544,30,-22,-15,6786,127,-4033,0.3128054738044739,2.0,0.6256109476089478,746382.0
-65,76,-36,-962,7022,-4035,-8,-13,-10,2406,7788,-1241,66,19,-6,6973,-1124,-3528,3,-20,-14,6747,154,-4052,0.3128054738044739,2.0,0.6256109476089478,746382.0
-68,68,-38,-996,7024,-4034,-22,-2,-31,2439,7793,-1233,72,25,-9,6951,-1113,-3515,-54,-17,-19,6733,160,-4029,0.3128054738044739,2.0,0.6256109476089478,746382.0
-75,71,-38,-1007,7009,-4017,-19,55,-58,2450,7722,-1230,72,17,-8,6969,-1103,-3535,-91,-28,-21,6716,153,-3993,0.3128054738044739,2.0,0.6256109476089478,746382.0
-72,65,-31,-981,6993,-4034,2,123,-72,2436,7745,-1251,64,19,-9,6982,-1083,-3548,-87,-51,-23,6752,153,-3982,0.3176930546760559,2.0,0.6353861093521118,758044.0
-64,55,-41,-1001,7020,-4027,10,193,-80,2379,7836,-1294,58,32,-2,7001,-1092,-3553,-60,-53,-21,6780,156,-3964,0.3128054738044739,2.0,0.6256109476089478,746382.0
-64,63,-58,-991,7054,-4024,-3,210,-79,2343,7873,-1271,55,12,-4,7008,-1112,-3592,-30,-49,-27,6795,139,-3930,0.3176930546760559,2.0,0.6353861093521118,758044.0
-71,87,-56,-948,7070,-4076,-24,195,-78,2325,7842,-1249,71,-6,-19,7002,-1116,-3629,20,-45,-38,6790,132,-3935,0.3323558270931244,2.0,0.6647116541862488,793031.0
-66,116,-52,-980,7002,-4102,-34,158,-78,2243,7812,-1204,83,-11,-30,6977,-1134,-3630,23,-48,-46,6801,130,-3911,0.3176930546760559,2.0,0.6353861093521118,758044.0
-50,116,-47,-1024,6990,-4093,-33,108,-68,2213,7749,-1225,84,-26,-23,6969,-1125,-3649,31,-39,-45,6852,62,-3926,0.32258063554763794,2.0,0.6451612710952759,769707.0
-52,83,-40,-1049,7063,-4019,-10,61,-25,2314,7834,-1189,68,-51,-5,7005,-1107,-3593,74,-7,-52,6880,53,-3948,0.32746821641921997,2.0,0.6549364328384399,781369.0
-55,48,-35,-1051,7046,-4079,-11,44,-12,2362,7862,-1245,36,-36,0,7052,-1081,-3527,72,23,-53,6819,57,-3979,0.3176930546760559,2.0,0.6353861093521118,758044.0
