wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
-16,-3,3,-2145,6870,-3751,20,-31,27,342,7935,-1636,23,-1,16,6729,-456,-4180,-37,-32,-7,7801,-387,-751,0.371456503868103,2.0,0.742913007736206,886329.0
3922,-3244,-6276,-737,-161,-1686,3097,1139,-4523,-807,4262,-6202,-3495,-19,-6475,76,-1248,-740,3401,-1415,-2826,7145,-3268,-4368,0.3176930546760559,2.0,0.6353861093521118,758001.0
3164,-3773,-5544,622,-343,-1717,2679,1173,-4186,-650,4073,-6210,-3384,519,-5621,-907,-2468,-626,3947,-562,-2775,7515,-2459,-4187,0.3176930546760559,2.0,0.6353861093521118,758044.0
2431,-3913,-4924,1836,-864,-1518,2342,1049,-3961,-581,3479,-6371,-2801,857,-4995,-2088,-3462,-382,3983,523,-2571,7433,-1855,-3597,0.32258063554763794,2.0,0.6451612710952759,769707.0
1641,-3737,-4462,3092,-1402,-827,2195,860,-3582,-428,2139,-7242,-2192,1223,-4228,-2867,-4128,-337,4341,813,-2428,6382,-1448,-2611,0.3176930546760559,2.0,0.6353861093521118,758044.0
806,-3029,-4251,4882,-2476,-28,2395,1032,-3148,-221,1638,-7862,-2148,1746,-3614,-3685,-5382,-505,5264,165,-2529,6035,-174,-2567,0.3128054738044739,2.0,0.6256109476089478,746382.0
432,-2939,-3975,6567,-3166,375,2463,1216,-2756,55,1451,-7924,-2375,1840,-2237,-5356,-6588,-428,5763,-257,-2614,6362,1908,-3339,0.3176930546760559,2.0,0.6353861093521118,758044.0
-457,-2757,-2944,9690,-5082,362,2440,1371,-2618,23,1680,-7983,-2324,1562,186,-8333,-10767,-1572,5016,237,-2171,7684,3405,-4588,0.32258063554763794,2.0,0.6451612710952759,769707.0
-1171,-1929,-1698,11796,-6682,-208,2357,1787,-2559,-92,1856,-8548,5,1520,2575,-12035,-16665,-4008,3340,875,-1715,7609,2933,-5898,0.3176930546760559,2.0,0.6353861093521118,758044.0
-1717,-229,421,13225,-7017,-432,2269,2184,-2498,-542,1921,-9186,2606,1934,2416,-10645,-11827,-3244,1306,1155,-1276,7194,1690,-5601,0.30791789293289185,2.0,0.6158357858657837,734720.0
-2479,1957,1962,11651,-5845,-1384,2124,2222,-2546,-924,1577,-9447,4136,1245,4841,-10317,-11009,-4818,233,771,-1438,6212,-216,-4104,0.3176930546760559,2.0,0.6353861093521118,758044.0
-3428,4224,2765,8162,-5197,-3294,1978,2050,-2575,-1476,812,-9191,6194,1565,7459,-8448,-8644,-4953,-168,619,-1429,6474,-252,-2927,0.3128054738044739,2.0,0.6256109476089478,746382.0
-3647,5007,3198,5903,-5068,-4279,1907,1785,-2508,-1503,234,-8807,6811,1177,10180,-6276,-5866,-5631,-157,639,-1141,6469,-543,-3450,0.32258063554763794,2.0,0.6451612710952759,769707.0
-4158,4769,3831,3906,-5380,-5878,1874,1353,-2253,-1444,-823,-8349,7388,1255,11428,-2448,-3397,-6209,52,668,-633,5883,-1217,-4424,0.3176930546760559,2.0,0.6353861093521118,758044.0
-3925,4374,4583,2050,-5244,-5325,2013,957,-1913,-1463,-1161,-7641,8021,1741,12081,719,-184,-8641,166,416,-428,5233,-1712,-5101,0.3176930546760559,2.0,0.6353861093521118,758044.0
-3562,3767,5189,1100,-3601,-4552,2113,-413,-1379,-1110,-986,-6969,7961,843,10654,2264,3034,-9738,299,-113,-605,5082,-756,-5599,0.32746821641921997,2.0,0.6549364328384399,781369.0
-3540,3987,5226,-130,-1898,-6187,2276,-1148,-1150,-1611,-556,-6471,7334,-1222,6719,4611,10073,-10350,748,-643,-927,5047,173,-5966,0.3176930546760559,2.0,0.6353861093521118,758044.0
-2691,4626,5002,-1891,-130,-9710,1583,-920,-830,787,-32,-3376,7335,-2556,3021,7104,12814,-12216,919,-990,-964,5581,1284,-5953,0.32746821641921997,2.0,0.6549364328384399,781369.0
-1440,5041,2990,-3163,1429,-11662,428,-298,-245,2448,-948,-1704,5687,-2733,-1510,8662,16536,-11882,217,-1144,-849,7063,1757,-5243,0.39589443802833557,2.0,0.7917888760566711,944640.0
-120,5917,-343,-7488,1460,-12746,-150,-301,601,3410,-840,-1542,2519,-175,-4343,7972,19667,-11930,-747,-991,-760,7677,1623,-4960,0.3323558270931244,2.0,0.6647116541862488,793031.0
1720,6607,-1612,-13676,-3443,-9832,-558,-894,913,2899,-181,-2984,-2304,1568,-4650,3550,16287,-9842,-1235,-557,-769,7222,371,-4848,0.32746821641921997,2.0,0.6549364328384399,781369.0
2917,1804,-2458,-12222,-5102,-5042,-846,-1097,818,679,-143,-6019,-5529,1305,-5456,-629,10699,-6888,-1221,-584,-785,6284,-867,-4436,0.32258063554763794,2.0,0.6451612710952759,769707.0
2959,-4860,-4674,-6324,-5372,-5275,-837,-700,708,-1174,-198,-7934,-7611,-1028,-6673,-2074,7415,-5590,-624,-604,-777,5882,-1848,-3480,0.32258063554763794,2.0,0.6451612710952759,769707.0
3248,-6880,-5720,-2142,-5693,-5525,-856,44,715,-2823,-468,-8967,-7439,-1517,-8075,-2194,4377,-5969,203,-629,-764,6203,-2187,-2702,0.3128054738044739,2.0,0.6256109476089478,746382.0
3503,-7191,-5793,2055,-5718,-4418,-1020,467,763,-4155,-1178,-9051,-6862,-1925,-9393,-2850,2200,-4041,1208,-533,-674,6911,-1784,-2213,0.3176930546760559,2.0,0.6353861093521118,758044.0
3407,-6798,-4670,5374,-7014,-3646,-1115,327,660,-4065,-1856,-9075,-5093,-1606,-9417,-4034,-521,-3495,1649,-119,-351,7464,-926,-2426,0.3176930546760559,2.0,0.6353861093521118,758044.0
3188,-4150,-3982,8282,-8101,-2535,-955,116,365,-2580,-2067,-10101,-3221,-1291,-8577,-6226,-2707,-2793,1461,325,143,7296,-355,-2898,0.3176930546760559,2.0,0.6353861093521118,758044.0
3120,-2198,-4230,8647,-7830,-612,-543,-331,68,-2231,-2001,-10070,-1990,-1009,-7365,-8731,-4598,-2271,1067,500,458,7366,229,-3662,0.3128054738044739,2.0,0.6256109476089478,746382.0
2492,-271,-3979,8162,-7382,388,-63,-715,-379,-1166,-1932,-10598,-1491,-1346,-5594,-10264,-7853,-2626,655,650,691,7582,869,-3807,0.3176930546760559,2.0,0.6353861093521118,758044.0
2131,-185,-3636,8962,-7482,1012,415,-411,-575,-872,-1780,-10447,-2009,-1281,-4725,-12302,-11298,-2188,154,869,865,7811,1267,-4066,0.3128054738044739,2.0,0.6256109476089478,746382.0
1842,-1015,-2892,11126,-7629,1393,755,249,-821,-1204,-1073,-9960,-2854,-2262,-2164,-12747,-13931,-1421,-159,1032,906,7972,1466,-3854,0.32258063554763794,2.0,0.6451612710952759,769707.0
1081,-1927,-1132,13932,-7117,1450,789,498,-883,-1358,-679,-9682,-1963,-2470,-220,-12153,-17529,-1894,-811,1149,989,7313,1318,-3492,0.3176930546760559,2.0,0.6353861093521118,758044.0
247,-1631,621,14822,-6029,851,595,648,-865,-1016,-653,-9689,169,-2092,1477,-11093,-17114,-994,-1562,1078,1166,7010,604,-3686,0.32258063554763794,2.0,0.6451612710952759,769707.0
-824,458,2366,13215,-4728,-261,468,452,-775,-817,-964,-9440,2601,-1491,4068,-8999,-15727,-618,-1917,1032,1334,6710,-205,-3972,0.32746821641921997,2.0,0.6549364328384399,781369.0
-1887,2150,3269,11430,-4450,-1418,511,490,-653,-770,-1486,-9465,4343,406,7371,-6789,-14060,-961,-2000,980,1450,6697,-874,-4065,0.32258063554763794,2.0,0.6451612710952759,769707.0
-2941,3253,4698,8811,-4738,-2549,698,532,-483,-577,-1271,-9333,6443,1873,10145,-6061,-11886,-1956,-1965,988,1565,6897,-635,-3821,0.3176930546760559,2.0,0.6353861093521118,758044.0
-3365,3289,5302,6571,-4380,-2677,769,563,-261,-230,-771,-8992,7594,2289,13090,-3767,-9227,-3046,-2082,998,1609,6995,-533,-3661,0.32746821641921997,2.0,0.6549364328384399,781369.0
-4165,3117,5883,4956,-4220,-3631,646,575,38,304,-665,-8512,8980,2446,14696,-1112,-6421,-5062,-2197,1046,1669,7063,65,-3465,0.3128054738044739,2.0,0.6256109476089478,746382.0
-4342,3146,6503,4342,-2975,-3528,586,592,307,537,-996,-8034,8988,3454,14135,3427,-3120,-6973,-2458,1111,1794,7286,687,-3360,0.3176930546760559,2.0,0.6353861093521118,758044.0
-4835,2938,7261,3701,-947,-3318,687,25,769,827,-1039,-7292,8575,4389,11427,7274,2225,-8487,-2774,1139,1916,7409,914,-3401,0.3176930546760559,2.0,0.6353861093521118,758044.0
-5056,2766,7569,2369,672,-5164,867,-724,1208,-216,-961,-6977,7761,3216,9002,9947,7959,-10770,-3127,1212,2080,7594,930,-3723,0.3176930546760559,2.0,0.6353861093521118,758044.0
-4919,3565,6685,-735,2243,-9043,621,-1191,1684,1809,63,-4276,7943,307,4087,10349,10514,-13348,-3476,1296,2222,7393,629,-3864,0.32746821641921997,2.0,0.6549364328384399,781369.0
-3053,3970,3983,-4200,5587,-11191,-706,-414,2562,3676,-152,-1496,6838,-1256,-332,10353,14006,-12858,-3731,1309,2404,7291,326,-3940,0.32258063554763794,2.0,0.6451612710952759,769707.0
