wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
-7584,-6848,-1082,-1015,707,-7456,-3715,5563,-5640,6895,1548,-5110,-4235,8671,-3417,2836,-3458,-8913,423,137,-186,7274,-1472,-1747,0.366568922996521,5.053763389587402,1.8525526523590088,0.16653096675872803
-123,-151,-92,-3328,7249,-840,5,-28,-20,1279,7872,-1327,-88,84,-74,6882,298,-3821,-140,-128,9,7528,-1030,-1886,0.34213098883628845,5.043988227844238,1.7257046699523926,0.17585588991641998
-109,-167,-86,-3304,7211,-807,10,-77,-17,1256,7868,-1315,-112,79,-63,6841,293,-3817,-141,-140,12,7541,-1115,-1932,0.3372434079647064,5.053763389587402,1.7043484449386597,0.17586398124694824
-95,-172,-81,-3288,7200,-785,11,-130,-10,1265,7889,-1369,-133,62,-42,6824,264,-3821,-111,-169,29,7590,-1085,-2029,0.34213098883628845,5.043988227844238,1.7257046699523926,0.17587217688560486
-70,-190,-61,-3273,7197,-836,0,-203,4,1260,7895,-1416,-143,43,-22,6833,229,-3801,-33,-147,74,7551,-1196,-2091,0.3372434079647064,5.043988227844238,1.7010518312454224,0.17588025331497192
-49,-185,-35,-3276,7232,-775,4,-267,15,1236,7939,-1549,-137,28,18,6878,163,-3788,108,-97,108,7339,-1351,-1995,0.30791789293289185,5.053763389587402,1.556144118309021,0.17588762938976288
-26,-159,9,-3222,7270,-794,-15,-379,27,1258,8055,-1689,-112,22,52,6912,110,-3790,183,-97,138,7346,-1506,-2069,0.3323558270931244,5.043988227844238,1.6763988733291626,0.17589564621448517
-8,-107,68,-3203,7316,-698,-29,-456,49,1294,8105,-1874,-72,1,102,6935,13,-3744,118,126,157,7646,-1672,-1905,0.30791789293289185,5.053763389587402,1.556144118309021,0.1759030818939209
6,-10,161,-3153,7223,-709,-72,-505,59,1463,8208,-1999,16,-7,176,6892,-16,-3670,159,270,199,8015,-1401,-1600,0.30791789293289185,5.053763389587402,1.556144118309021,0.17591051757335663
19,87,240,-3182,7141,-711,-185,-519,63,1625,8086,-2085,117,28,245,6860,-14,-3619,328,475,151,8099,-1056,-1594,0.3128054738044739,5.043988227844238,1.577787160873413,0.17591805756092072
38,185,322,-3200,7008,-715,-330,-480,73,1729,7881,-2220,271,70,310,6766,-3,-3585,489,551,-86,7855,-812,-1711,0.3128054738044739,5.043988227844238,1.577787160873413,0.1759255975484848
65,323,442,-3208,6858,-628,-413,-324,70,1810,7810,-2226,461,108,389,6603,122,-3625,503,420,-256,7509,-747,-1959,0.30791789293289185,5.053763389587402,1.556144118309021,0.17593303322792053
79,465,523,-3248,6760,-589,-495,-38,91,1797,7600,-2197,616,97,472,6480,219,-3675,617,179,-401,7200,-834,-1819,0.3372434079647064,5.053763389587402,1.7043484449386597,0.17594116926193237
