wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
-24,-473,-466,-2502,6576,-2949,108,-755,462,1114,7460,-1925,-286,253,-347,6404,130,-3399,16,-14,77,7645,-445,-846,0.3030303120613098,2.0,0.6060606241226196,722987.0
-647,811,-802,-6413,-690,-6119,-167,346,-40,2675,6744,-3618,1009,1341,-1281,743,6164,-7758,39,-75,16,7868,497,-96,0.3030303120613098,2.0,0.6060606241226196,723046.0
-428,784,-841,-6197,-546,-5931,-98,126,-127,2738,6838,-3618,724,899,-1176,515,6226,-7613,55,-63,14,7894,454,-116,0.2981427311897278,2.0,0.5962854623794556,711396.0
-255,548,-779,-6624,-835,-5969,-57,25,-151,2939,6805,-3634,311,536,-1030,747,6315,-7563,71,-67,12,7848,450,-103,0.2981427311897278,2.0,0.5962854623794556,711396.0
-43,267,-798,-6609,-602,-5964,-22,18,-152,3145,6713,-3699,168,138,-882,734,6197,-7597,71,-67,6,7879,464,-84,0.3030303120613098,2.0,0.6060606241226196,723058.0
66,255,-808,-6446,-629,-5988,-8,80,-159,3164,6626,-3707,124,-307,-961,761,6752,-7544,69,-56,6,7854,468,-92,0.3030303120613098,2.0,0.6060606241226196,723058.0
173,353,-902,-6402,-709,-6024,41,126,-150,3155,6705,-3773,214,-758,-1290,714,6843,-7560,71,-55,8,7867,458,-88,0.2981427311897278,2.0,0.5962854623794556,711396.0
325,481,-1078,-6620,-823,-6239,85,122,-151,3129,6739,-3762,262,-1077,-1507,824,6912,-7476,82,-54,14,7866,427,-77,0.2981427311897278,2.0,0.5962854623794556,711396.0
438,551,-1285,-6880,-1071,-6419,195,100,-211,3021,6779,-3807,284,-1164,-1518,1037,6779,-7689,88,-53,15,7886,462,-88,0.2981427311897278,2.0,0.5962854623794556,711396.0
623,735,-1469,-6673,-1183,-6555,290,64,-273,2952,6679,-3956,483,-1203,-1732,359,7034,-7878,83,-42,16,7898,468,-96,0.30791789293289185,2.0,0.6158357858657837,734720.0
676,838,-1610,-6740,-1225,-6402,533,-48,-270,3052,6423,-4180,585,-1625,-1856,-66,7162,-7926,82,-29,13,7929,471,-110,0.3128054738044739,2.0,0.6256109476089478,746382.0
656,1030,-2003,-6957,-1541,-6472,789,-119,-199,3147,6335,-4346,800,-2152,-1870,-285,6915,-8078,80,-4,22,7896,496,-113,0.3030303120613098,2.0,0.6060606241226196,723058.0
752,1292,-2266,-6949,-1976,-6988,1044,-151,-148,3142,6329,-4548,1209,-2421,-1996,-101,7229,-8612,72,30,28,7903,522,-112,0.3030303120613098,2.0,0.6060606241226196,723058.0
943,1616,-2495,-7114,-1977,-7072,1342,-194,-137,3281,6377,-4782,1746,-2620,-2323,-827,7809,-8830,54,43,42,7881,536,-112,0.2981427311897278,2.0,0.5962854623794556,711396.0
954,1775,-2805,-7185,-1915,-6570,1574,-205,-138,3390,6438,-4965,1763,-3301,-2340,-1228,8338,-8401,38,36,46,7862,548,-117,0.2981427311897278,2.0,0.5962854623794556,711396.0
900,2079,-3414,-7246,-1920,-6299,1932,-190,-36,3792,6334,-5402,1820,-3716,-2403,-712,8592,-8136,50,2,51,7887,602,-72,0.48875856399536133,2.0,0.9775171279907227,1166222.0
839,2252,-3722,-7137,-2006,-6725,2264,-66,95,4198,6107,-5807,1768,-3801,-3093,3,8954,-7753,23,-10,52,7835,629,-76,0.30791789293289185,2.0,0.6158357858657837,734720.0
558,2158,-4212,-7672,-1754,-6934,2784,196,362,4661,5949,-6153,1667,-3165,-3410,442,10072,-6911,-26,-13,42,7871,599,-59,0.2981427311897278,2.0,0.5962854623794556,711396.0
223,2188,-4760,-7690,-1741,-7277,3140,382,554,4875,6048,-6441,1127,-2678,-3828,1263,9689,-5830,-86,14,41,7881,558,-56,0.3030303120613098,2.0,0.6060606241226196,723058.0
-5,2119,-5123,-7067,-1845,-7107,3440,645,668,4968,6226,-6866,975,-1468,-4600,1344,9127,-5087,-114,19,49,7875,478,-47,0.3030303120613098,2.0,0.6060606241226196,723058.0
-466,1890,-5616,-6070,-1727,-6572,3735,907,705,5111,6258,-7166,1015,-429,-5287,930,7524,-4095,-99,20,51,7928,421,-28,0.2981427311897278,2.0,0.5962854623794556,711396.0
-912,1942,-5895,-5686,-1855,-6546,4112,1223,875,5304,6460,-7428,1233,119,-5754,1080,6110,-4210,-92,24,66,7898,371,-37,0.3030303120613098,2.0,0.6060606241226196,723058.0
-1496,2137,-6139,-5168,-1619,-6228,4222,1430,1016,5292,6804,-7524,1677,957,-6028,539,5074,-4524,-121,43,79,7912,346,-24,0.3372434079647064,2.0,0.6744868159294128,804693.0
-1865,2183,-6260,-4928,-1455,-5857,4203,1921,1161,5331,6616,-7295,1922,1352,-6178,142,4748,-4636,-160,54,92,7893,358,3,0.3030303120613098,2.0,0.6060606241226196,723058.0
-2362,1924,-6361,-4229,-1721,-6073,4342,2260,1258,5109,6268,-7306,1911,1478,-6346,-59,4166,-4722,-183,79,87,7887,380,52,0.3030303120613098,2.0,0.6060606241226196,723058.0
-2730,1702,-6304,-3427,-1903,-7003,4600,2500,1449,4848,5702,-7316,1899,2053,-6642,37,2793,-5518,-205,115,93,7881,382,70,0.3030303120613098,2.0,0.6060606241226196,723058.0
-3176,1871,-6036,-1884,-1853,-8014,4879,2496,1642,4782,5796,-7409,2002,2485,-6767,-548,602,-7044,-234,138,98,7844,345,62,0.3030303120613098,2.0,0.6060606241226196,723058.0
-3362,2044,-5766,-752,-2056,-8567,5095,2385,1877,4588,6035,-7429,1985,2459,-6451,-2223,-1587,-8816,-276,117,99,7913,329,110,0.3030303120613098,2.0,0.6060606241226196,723058.0
-3378,2128,-5186,1017,-2408,-9648,5078,2047,2359,4271,5748,-7037,2075,1850,-5995,-2999,-4444,-10510,-282,88,83,7819,420,87,0.30791789293289185,2.0,0.6158357858657837,734720.0
-3070,2249,-4538,2355,-2950,-11687,5027,1659,2741,3871,5023,-6842,2664,1664,-5206,-3540,-6754,-11891,-193,57,69,7860,361,-49,0.3030303120613098,2.0,0.6060606241226196,723058.0
-2485,2942,-3315,4369,-3203,-14062,5147,549,3367,3604,4196,-6928,3263,1652,-4133,-4332,-9304,-13912,-165,87,86,7845,328,-61,0.3030303120613098,2.0,0.6060606241226196,723058.0
-1959,3941,-2378,5323,-3437,-15345,5306,-740,3979,3391,3884,-6965,4464,1282,-3067,-5372,-10702,-15954,-164,22,77,7761,293,-86,0.2981427311897278,2.0,0.5962854623794556,711396.0
-1108,5806,-1340,5403,-3449,-14558,5311,-2835,4677,3187,3224,-7102,5863,364,-1437,-6976,-10359,-16651,-127,-94,42,7717,300,-84,0.3030303120613098,2.0,0.6060606241226196,723058.0
-512,7143,-298,5636,-3894,-14083,5444,-4507,4787,3335,2620,-7532,6703,-1341,-15,-7367,-10390,-16398,-116,-186,11,7771,257,-133,0.2981427311897278,2.0,0.5962854623794556,711396.0
278,8450,776,6161,-4331,-14963,5718,-6052,4889,4002,2598,-8408,7455,-2620,1085,-6013,-10708,-16852,-131,-214,-10,7778,214,-178,0.3030303120613098,2.0,0.6060606241226196,723058.0
1392,10097,2431,6008,-3736,-16485,5696,-6671,4559,4485,1930,-9053,8171,-2377,2415,-4471,-10214,-17446,-107,-208,-13,7822,151,-213,0.2981427311897278,2.0,0.5962854623794556,711396.0
2089,10953,3621,5260,-3703,-16861,5887,-6404,3748,4463,1105,-10163,8786,-1758,3617,-4275,-9920,-17555,1,-222,11,7838,140,-238,0.2981427311897278,2.0,0.5962854623794556,711396.0
2798,10704,4949,4287,-3808,-14749,5661,-5777,3018,4231,553,-10084,9023,-1890,5818,-4879,-8738,-15960,35,-267,18,7894,284,-217,0.3128054738044739,2.0,0.6256109476089478,746382.0
3073,10363,5767,4381,-3858,-12844,5506,-4973,1986,3335,140,-9517,8852,-2370,7926,-3802,-8234,-14552,140,-242,14,7969,393,-231,0.3128054738044739,2.0,0.6256109476089478,746382.0
3281,10178,6756,4331,-3612,-11044,5223,-4277,1281,2696,93,-8749,9107,-3107,9388,-3094,-7791,-14494,113,-128,9,7980,494,-106,0.3030303120613098,2.0,0.6060606241226196,723058.0
3537,9994,7495,3918,-3581,-10127,4817,-2868,421,1067,-265,-7823,9106,-3706,10440,-1365,-6167,-13577,-8,-37,9,7911,540,-28,0.2981427311897278,2.0,0.5962854623794556,711396.0
4001,9469,8334,2811,-2771,-7894,4671,-1925,-95,148,-990,-7820,8247,-4709,11846,-1333,-3989,-11768,-58,-45,8,7947,589,-4,0.2981427311897278,2.0,0.5962854623794556,711396.0
4163,8642,9012,1635,-1849,-6805,4838,-1297,-837,-1139,-1372,-7136,7179,-8057,12922,-1408,-3780,-11861,-56,-1,10,8015,641,0,0.29325512051582336,2.0,0.5865102410316467,699733.0
4410,6506,9900,459,-1038,-5390,4553,-1685,-869,-2300,-2179,-6667,6817,-11635,12837,103,-3287,-11776,-47,19,15,7841,657,-37,0.2981427311897278,2.0,0.5962854623794556,711396.0
4851,4977,10346,540,-582,-5086,4050,-3018,-822,-3028,-3418,-7144,6185,-11707,12259,4502,-3010,-12742,-128,1,24,7829,613,-49,0.2981427311897278,2.0,0.5962854623794556,711396.0
6020,3923,11637,1346,1423,-3909,4518,-4029,-910,-3083,-4544,-7165,4784,-8985,12106,7288,-961,-11717,-169,-68,29,7856,600,-2,0.2981427311897278,2.0,0.5962854623794556,711396.0
6011,3777,11871,-468,4464,-3485,4875,-4530,-1314,-3040,-3830,-7270,2407,-9079,12283,7947,-490,-8386,-149,-74,26,7794,510,46,0.3030303120613098,2.0,0.6060606241226196,723058.0
5201,2552,11588,-2986,5335,-5465,4866,-4635,-1921,-3376,-3761,-7606,1422,-10892,11916,11048,170,-5322,-164,-139,29,7788,388,101,0.3030303120613098,2.0,0.6060606241226196,723058.0
5540,795,11271,-5423,6014,-6186,4779,-4630,-2575,-3537,-3305,-7853,1772,-7534,10611,17242,357,-3306,-164,-137,24,7768,161,102,0.3030303120613098,2.0,0.6060606241226196,723058.0
5501,-580,10540,-8344,6936,-1942,4833,-4696,-3399,-1725,-543,-6305,1725,-1983,9813,14473,5828,-3000,-63,-171,26,7824,36,55,0.3030303120613098,2.0,0.6060606241226196,723058.0
4299,-4280,8812,-8931,2509,2677,3924,-5014,-3521,141,946,-5737,-70,6109,9976,10242,11486,5907,77,-155,14,7803,-89,51,0.30791789293289185,2.0,0.6158357858657837,734720.0
3256,-7560,6663,-6432,541,4294,3232,-7395,-2905,5617,85,-6859,-3061,1866,8294,4250,16167,4443,119,-118,21,7973,-95,120,0.3030303120613098,2.0,0.6060606241226196,723058.0
1808,-8541,4066,-2014,-311,2984,3847,-9752,-2724,11406,217,-5527,-5951,-1314,5096,5469,12452,5498,259,1,5,8080,-66,104,0.3030303120613098,2.0,0.6060606241226196,723058.0
615,-7103,2094,-405,-1741,2207,3316,-11260,-3048,15028,385,-3783,-4573,3583,1771,6044,9884,6099,350,245,19,8124,-7,160,0.30791789293289185,2.0,0.6158357858657837,734720.0
473,-3716,31,1005,-2084,2672,2535,-8658,-2930,13936,-797,-1775,-2686,3997,-683,789,8363,3545,353,369,58,7727,147,120,0.3030303120613098,2.0,0.6060606241226196,723058.0
-72,-1075,-1309,13,-2331,3428,485,-2040,-1534,10377,-1174,-743,-1773,2244,-3221,701,8305,2647,419,150,68,7417,332,74,0.371456503868103,2.0,0.742913007736206,886329.0
-541,1000,-2646,-2050,-2905,3142,-2207,2378,234,7050,-1760,-2629,-3163,1366,-2154,-3609,9476,6048,432,-295,104,7552,569,-14,0.2981427311897278,2.0,0.5962854623794556,711396.0
-1098,1303,-3558,-1644,-2945,2832,-3157,6282,1859,4339,-2051,-5063,-3388,714,-4856,1393,8193,2358,389,-514,145,7751,646,-141,0.3030303120613098,2.0,0.6060606241226196,723058.0
-1284,1382,-4485,-3016,-2288,1727,-4757,8135,3663,2256,-1808,-5991,-2455,939,-7219,622,3991,2123,184,-470,170,8020,785,-202,0.3030303120613098,2.0,0.6060606241226196,723058.0
-1768,795,-4927,-2127,-2826,495,-6314,7716,5442,-907,-2977,-7771,-1688,3217,-7102,1314,3017,-842,10,-344,167,7956,793,-293,0.30791789293289185,2.0,0.6158357858657837,734720.0
-1614,1136,-4964,-1067,-3611,-388,-4218,6132,3735,-5687,-4998,-8604,-1600,4119,-6903,-1899,1870,1520,-117,-242,155,7956,698,-401,0.3030303120613098,2.0,0.6060606241226196,723058.0
-1388,910,-5428,-2585,-2938,-753,-3295,5329,2197,-6419,-4326,-7116,-1179,2824,-7045,-1301,1680,829,-175,-138,161,8006,573,-591,0.2981427311897278,2.0,0.5962854623794556,711396.0
-2395,-672,-6134,-2551,-2216,-189,-4274,4114,501,-6570,-3396,-5760,-1996,3136,-6262,-957,2792,-260,-193,-13,169,7991,429,-627,0.3030303120613098,2.0,0.6060606241226196,723058.0
-2917,-1197,-6084,-874,-3782,-618,-4521,2509,270,-5520,-3637,-5769,-3063,3790,-5508,-1648,1045,904,-194,61,158,7916,356,-629,0.2981427311897278,2.0,0.5962854623794556,711396.0
-2930,-1934,-6003,-1370,-3531,-881,-3594,-277,745,-2637,-3494,-6565,-3310,4041,-4775,-2295,489,-123,-161,79,139,7807,219,-637,0.3128054738044739,2.0,0.6256109476089478,746382.0
-3647,-3445,-5891,-1187,-3910,-1992,-2905,-2204,1305,-1005,-2875,-7242,-2930,5133,-4234,-2261,-25,-1020,-61,39,136,7667,141,-643,0.30791789293289185,2.0,0.6158357858657837,734720.0
-3349,-4443,-5526,-422,-4950,-2844,-3025,-3556,1811,694,-2192,-8546,-2763,5855,-4066,-2562,166,-1200,53,-97,141,7716,198,-545,0.2981427311897278,2.0,0.5962854623794556,711396.0
-3044,-5502,-4785,448,-4141,-3144,-3563,-3127,2221,1698,-1363,-9434,-2666,6616,-3971,-2678,335,-2135,135,-229,97,7763,248,-418,0.2981427311897278,2.0,0.5962854623794556,711396.0
-3375,-6034,-4346,783,-4875,-3085,-3195,-1538,2485,2852,-2458,-9586,-3296,6649,-3944,-3229,455,-3288,212,-247,60,7893,178,-318,0.3030303120613098,2.0,0.6060606241226196,723058.0
-3485,-6119,-4216,1029,-3631,-3311,-3802,294,2083,2885,114,-8672,-3751,6400,-3835,-3521,580,-3977,240,-186,36,7932,55,-226,0.2981427311897278,2.0,0.5962854623794556,711396.0
-3697,-6221,-3948,924,-4467,-4162,-5420,2821,1717,2438,210,-8386,-3936,6530,-3640,-3600,410,-4446,259,-102,62,7856,68,-250,0.2981427311897278,2.0,0.5962854623794556,711396.0
-4046,-6200,-3759,942,-5507,-5618,-5619,4097,1205,1977,418,-8718,-3471,7080,-3594,-3188,-47,-4920,268,-110,84,7803,138,-321,0.2981427311897278,2.0,0.5962854623794556,711396.0
-4047,-6321,-3376,746,-5575,-5736,-5792,5205,1004,1467,752,-9685,-3162,7470,-3659,-2682,161,-6283,314,-195,66,7773,163,-342,0.2981427311897278,2.0,0.5962854623794556,711396.0
-4200,-6402,-2829,972,-4197,-5250,-5998,5580,991,1031,1173,-9820,-3217,7612,-3860,-3307,247,-7143,293,-227,26,7858,-67,-227,0.2981427311897278,2.0,0.5962854623794556,711396.0
-4684,-6334,-2572,1205,-3817,-5188,-6124,5606,855,481,1307,-9813,-3548,7589,-3872,-3427,329,-6769,225,-100,23,7940,-246,-199,0.3030303120613098,2.0,0.6060606241226196,723058.0
-5366,-6548,-2076,856,-4358,-6073,-5936,5183,711,472,830,-9860,-4203,7260,-3835,-2870,106,-7154,254,-48,54,7820,-384,-300,0.3030303120613098,2.0,0.6060606241226196,723058.0
-5572,-6716,-1756,477,-5052,-7655,-5619,4493,548,1270,1089,-9825,-4834,7835,-3647,-1419,-519,-8165,392,-98,100,7915,-182,-352,0.30791789293289185,2.0,0.6158357858657837,734720.0
-5452,-7292,-981,194,-5674,-9748,-5532,4197,217,1997,2114,-9699,-5335,8953,-3268,-58,-610,-9883,501,-163,87,7814,-46,-387,0.3030303120613098,2.0,0.6060606241226196,723058.0
-5103,-8133,-293,-634,-5640,-10042,-5802,3966,-426,2749,3404,-9096,-5743,9752,-2678,176,-31,-12251,526,-198,40,7833,-44,-314,0.3030303120613098,2.0,0.6060606241226196,723058.0
-4781,-8864,465,-1027,-5020,-9376,-6014,4281,-893,3448,3630,-9009,-6495,10053,-1896,-848,1167,-13632,471,-49,37,7893,27,-277,0.2981427311897278,2.0,0.5962854623794556,711396.0
-4574,-9699,1366,-1309,-4143,-9282,-6028,4918,-1081,4159,3876,-9133,-7842,9140,-1190,-1480,2593,-14894,381,-112,73,7826,-107,-382,0.3030303120613098,2.0,0.6060606241226196,723058.0
-4511,-9626,1701,-1454,-4564,-11260,-6127,5748,-1359,4679,3560,-9677,-8244,8182,-836,-748,2505,-16187,475,-229,78,7853,136,-506,0.3030303120613098,2.0,0.6060606241226196,723058.0
-3708,-9049,1937,-2020,-6320,-14377,-6183,6172,-1910,4264,2661,-9856,-7836,7249,-656,626,2569,-19068,424,-234,72,7864,216,-529,0.3030303120613098,2.0,0.6060606241226196,723058.0
