wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
-2313,2828,-2178,-2120,8215,-5813,-931,2547,-2932,6651,8493,-2935,2688,2236,-2148,7571,1182,-6672,458,-136,9,7956,714,-744,0.37634408473968506,5.043988227844238,1.8982751369476318,0.0
-6145,-5444,-10607,-5911,799,-10829,344,3661,-19,3149,-3029,-8311,-5028,7992,-9845,6989,7464,-14058,-287,-74,-206,7551,-1034,-1467,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
-5843,-6839,-10597,-4877,344,-12014,7,4446,-151,125,-3951,-8387,-6223,7960,-9521,6555,4939,-15447,620,-183,-399,7351,-1064,-1270,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
-5502,-7840,-10454,-2544,-35,-12505,428,4246,-309,-1215,-4541,-8567,-6264,7739,-9356,6022,3649,-16539,1050,-307,-476,7108,-1111,-1297,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
-5100,-7872,-10256,-995,-94,-12079,1709,2041,-628,-710,-3422,-8245,-5708,7057,-9550,5088,3540,-17317,1485,-431,-518,7282,-987,-1379,0.3323558270931244,5.043988227844238,1.6763988733291626,0.0
-4517,-7307,-10220,-656,-392,-12133,2131,-250,-1149,1005,-2334,-7758,-5650,5675,-9736,3666,3297,-17821,1710,-336,-544,7580,-712,-1465,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
-3864,-6758,-10252,-625,-1019,-13053,2293,-1903,-1644,2524,-2007,-7223,-5323,4299,-9584,3061,1765,-18922,1720,-326,-580,7826,-154,-1411,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
-2455,-6311,-10235,794,-1430,-12970,2190,-2474,-2218,3872,-2124,-7073,-4174,3196,-9881,1669,1703,-19131,1733,-390,-725,7910,707,-1145,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
-1555,-5479,-10368,1720,-1494,-12630,1921,-2287,-2495,4131,-2395,-6789,-3635,1341,-9726,1495,1281,-18388,2145,-465,-938,7744,926,-1893,0.3372434079647064,5.053763389587402,1.7043484449386597,0.0
-284,-4354,-10674,1258,-1301,-11990,1715,-2224,-2782,3523,-2970,-6721,-3431,-242,-9818,1735,1899,-16832,2546,-570,-1039,7666,921,-2308,0.3323558270931244,5.053763389587402,1.67964768409729,0.0
891,-4143,-10788,1468,-1586,-12756,1850,-2457,-2921,2704,-2682,-6535,-3700,-625,-10023,2561,624,-16338,2905,-541,-1071,7720,995,-2433,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
2646,-4001,-10721,2577,-1495,-11661,1875,-3039,-3455,1368,-2139,-7225,-3353,-835,-10111,1896,-462,-16333,2741,-369,-1007,7809,995,-2131,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
3498,-3410,-10879,2451,-854,-10304,1867,-3807,-4018,484,-2266,-7667,-2976,-2319,-10014,1941,-749,-15491,2366,-225,-922,7712,1098,-1793,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
4664,-2634,-10913,2249,-79,-9579,1877,-5070,-4837,62,-2325,-8461,-2306,-3738,-10130,2819,-735,-14016,1940,-205,-871,7374,1266,-1282,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
5440,-2511,-10921,2028,139,-9240,1867,-5804,-5362,302,-2388,-8640,-2713,-4580,-10226,3513,58,-11980,1354,-264,-746,7537,1273,-905,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
6380,-3382,-10596,2700,-130,-9518,1940,-6345,-5881,1253,-1705,-8208,-4149,-4224,-10076,4501,-1257,-11365,782,-242,-505,7745,1359,-715,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
6820,-4128,-10190,3264,-80,-8680,1975,-6816,-6007,2299,-1472,-8426,-5222,-3821,-9697,3471,-3650,-10614,276,-62,-313,8125,1199,-604,0.32258063554763794,5.043988227844238,1.627092957496643,0.0
