wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
-852,3386,10657,-5776,10054,-524,-1075,-2156,3073,4340,6890,-2071,3442,-580,10990,14047,3208,-13,689,-13,-22,7765,-1172,-2118,0.371456503868103,5.043988227844238,1.873622179031372,0.0
671,-3185,-1178,-9600,-2130,-6986,1461,-485,-768,2247,7277,-3366,1266,7091,1695,7982,6130,-6497,-2075,548,648,7019,-844,-1487,0.3176930546760559,5.053763389587402,1.6055455207824707,0.0
631,-4380,-1132,-9103,-1914,-6338,2182,-444,-911,1969,7070,-3660,1364,7927,995,9229,5491,-8364,-2165,443,666,7058,-200,-944,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
269,-4631,-1281,-8748,-1349,-4894,3258,-328,-1269,1835,6836,-4099,2300,8795,-601,9235,6679,-10813,-2229,447,725,7310,-238,-448,0.3470185697078705,5.053763389587402,1.7537497282028198,0.0
-462,-4583,-1712,-9369,-709,-3224,3768,-817,-1187,1849,6226,-4734,2364,8467,-2759,7552,9436,-11973,-1457,342,523,7610,-608,-235,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
-920,-4215,-2140,-10193,-891,-2721,4886,-1476,-800,1792,6129,-5718,1175,6067,-4026,5764,9985,-11356,-536,208,102,7922,-928,-362,0.3176930546760559,5.053763389587402,1.6055455207824707,0.0
-1282,-3632,-2647,-10905,-1511,-2214,5181,-2049,-227,1116,6786,-6146,75,2659,-4309,6056,9637,-11137,529,95,-208,7896,-667,-883,0.32258063554763794,5.043988227844238,1.627092957496643,0.0
-1460,-2412,-3520,-11528,-2851,-2020,5178,-2521,-403,1788,8086,-5673,-912,640,-3876,7659,8081,-10816,953,-38,-495,7711,125,-1145,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
-1422,-1035,-4327,-11930,-3689,-2067,4954,-2400,-1004,2181,8331,-5058,-821,-1767,-3154,8183,7522,-10437,564,-51,-533,7633,1017,-1124,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
-1017,1232,-5590,-11773,-3626,-1546,4634,-1782,-1757,1689,7942,-4671,611,-4688,-3181,7862,8442,-10900,88,77,-422,7485,2042,-813,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
-812,3482,-6730,-11344,-3041,-864,4598,-1330,-2338,741,7583,-5004,2607,-8445,-3556,8077,8935,-11100,-306,-98,-126,7407,2480,-680,0.3176930546760559,5.053763389587402,1.6055455207824707,0.0
-531,6994,-8188,-10933,-3541,-1150,4614,-1287,-2977,-807,7086,-6143,3782,-11397,-3315,8573,9257,-11433,-546,-154,139,7741,2401,-684,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
-38,9276,-9001,-10074,-4291,-1885,4794,-1547,-3082,-1603,6908,-6966,4866,-14704,-3309,9221,9593,-12857,-704,-82,236,8130,2137,-692,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
922,11770,-9834,-7770,-4609,-3238,5015,-1814,-2920,-2353,6737,-7204,6133,-17236,-4270,9636,10176,-14506,-986,43,247,8027,1769,-685,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
1811,12940,-10185,-7099,-4889,-4193,5163,-1996,-2799,-2510,6570,-6813,5847,-19602,-5496,9241,12411,-14869,-1149,84,278,7888,1424,-794,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
2907,12202,-9763,-7072,-5153,-4260,5226,-2271,-2937,-2329,6769,-6690,2207,-21116,-5877,10099,12120,-14436,-1134,150,319,7739,1029,-834,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
3478,10424,-8898,-6011,-5842,-4539,4997,-2712,-3232,-2252,6786,-7200,-1156,-20653,-5429,10459,9616,-12770,-988,177,355,7602,413,-779,0.32746821641921997,5.043988227844238,1.6517457962036133,0.0
4098,8245,-7959,-4441,-6903,-4735,4546,-3227,-3652,-1766,6426,-7731,-4718,-19555,-5154,9744,6462,-10631,-748,121,358,7775,3,-740,0.3812316656112671,5.053763389587402,1.926654577255249,0.0
4595,7217,-7500,-4071,-6800,-4572,4299,-2955,-4124,-1275,5778,-7641,-7108,-18513,-5040,7391,4344,-8357,-524,89,303,7959,-73,-722,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
4843,6043,-7065,-2826,-6363,-4437,4269,-1758,-4905,-1032,4868,-7403,-8119,-17933,-5692,6369,2889,-6354,-410,137,203,8035,-7,-757,0.32746821641921997,5.043988227844238,1.6517457962036133,0.0
4994,5593,-6487,-617,-6618,-4083,4480,-532,-5089,-974,4681,-7192,-6312,-16910,-7059,4196,1586,-4303,-408,124,165,7797,234,-845,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
5241,6127,-5530,1168,-7230,-3923,4506,948,-5358,-1202,4768,-6954,-4821,-15755,-8263,3467,1213,-1739,-425,104,151,7732,443,-951,0.3176930546760559,5.043988227844238,1.6024399995803833,0.0
5527,6636,-4832,1522,-7439,-3725,4491,1787,-5452,-1225,4141,-7123,-3687,-14411,-8671,1892,203,614,-394,109,158,7692,574,-980,0.3372434079647064,5.053763389587402,1.7043484449386597,0.0
5461,7247,-4150,1176,-7324,-3210,4409,2164,-5103,-1703,3984,-7726,-3285,-13726,-8154,1408,-1333,2905,-322,131,180,7833,746,-964,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
5386,7261,-3524,843,-6825,-2826,4141,1818,-4852,-2007,3491,-8123,-2432,-12457,-7162,1034,-2268,5370,-255,187,214,8038,958,-1014,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
5182,6512,-2664,721,-6132,-2353,3763,1572,-4363,-1723,3007,-8275,-2105,-11150,-6217,647,-2734,6982,-313,337,231,8025,1098,-1033,0.3176930546760559,5.053763389587402,1.6055455207824707,0.0
