wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
-18,-1,-6,153,192,8431,7,-12,-2,525,5199,6253,18,-12,7,1732,-113,7987,20,-25,-17,964,-1852,7839,0.2346041053533554,4.897360801696777,1.148940920829773,0.0
-21,-1,-6,132,127,8487,13,-13,0,514,5207,6252,16,3,9,1610,-108,8026,9,-15,-20,971,-1839,7844,0.21994134783744812,4.887585639953613,1.0749821662902832,0.0
-22,1,-6,136,140,8455,12,-11,-3,514,5185,6236,14,-3,4,1607,-110,8022,7,-20,-16,966,-1841,7844,0.22971652448177338,4.897360801696777,1.1250046491622925,0.0
-21,-1,-7,130,161,8497,10,-13,-5,496,5177,6275,19,-5,6,1621,-112,8017,15,-26,-17,958,-1839,7852,0.22482892870903015,4.887585639953613,1.0988706350326538,0.0
-22,-1,-8,134,160,8479,10,-13,-3,517,5161,6282,16,2,8,1621,-100,8029,3,-22,-21,965,-1827,7837,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-22,0,-6,137,152,8472,11,-12,-3,517,5193,6273,20,-1,4,1618,-104,8027,-3,-19,-18,960,-1850,7872,0.22482892870903015,4.887585639953613,1.0988706350326538,0.0
-22,0,-7,147,155,8466,11,-9,-2,517,5196,6276,19,-6,6,1627,-112,8018,7,-23,-19,965,-1852,7864,0.2834799587726593,4.819159030914307,1.3661350011825562,0.0
-20,-2,-8,135,159,8445,15,-11,-2,528,5188,6240,13,-1,5,1636,-107,8021,6,-19,-18,959,-1841,7864,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-21,-1,-8,149,154,8459,12,-11,-1,507,5194,6254,13,2,7,1616,-113,8016,-3,-13,-16,957,-1844,7860,0.22971652448177338,4.897360801696777,1.1250046491622925,0.0
-20,0,-9,159,141,8480,11,-12,-1,518,5186,6258,14,7,10,1607,-113,8039,9,-23,-19,958,-1850,7835,0.2346041053533554,4.877810478210449,1.1443543434143066,0.0
-20,-3,-9,138,132,8468,10,-10,0,522,5172,6263,15,4,6,1600,-109,8025,10,-26,-18,978,-1839,7826,0.23949168622493744,4.877810478210449,1.1681950092315674,0.0
-21,0,-9,132,144,8453,9,-11,-3,508,5199,6277,19,-6,5,1605,-117,8028,5,-20,-17,972,-1841,7841,0.22971652448177338,4.887585639953613,1.122759222984314,0.0
-18,-1,-7,129,138,8486,10,-13,-3,529,5194,6273,18,-6,7,1606,-111,8047,7,-23,-18,967,-1857,7870,0.21994134783744812,4.877810478210449,1.0728322267532349,0.0
-22,1,-9,114,154,8478,11,-9,-1,503,5199,6243,14,-1,6,1609,-97,8028,9,-22,-17,958,-1837,7866,0.21994134783744812,4.887585639953613,1.0749821662902832,0.0
-21,0,-8,133,163,8426,12,-8,-2,518,5209,6245,19,-5,7,1621,-103,8029,3,-17,-17,954,-1842,7865,0.22482892870903015,4.887585639953613,1.0988706350326538,0.0
-19,0,-7,128,160,8472,12,-9,-3,506,5182,6225,17,-6,4,1614,-95,8034,12,-23,-21,974,-1826,7847,0.22482892870903015,4.887585639953613,1.0988706350326538,0.0
-20,1,-8,125,135,8477,8,-13,-4,544,5177,6289,15,-3,6,1623,-94,8017,1,-23,-18,971,-1813,7854,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-22,-1,-5,117,151,8456,10,-10,-4,544,5191,6270,17,-3,6,1617,-115,8026,3,-23,-17,964,-1836,7846,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-21,-3,-6,120,151,8471,11,-10,-3,519,5208,6277,15,1,6,1627,-99,8028,3,-20,-19,957,-1843,7859,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-20,-3,-7,144,162,8503,12,-10,-1,501,5202,6271,15,0,9,1614,-108,8021,-1,-21,-17,943,-1838,7845,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-21,0,-8,121,142,8433,12,-13,-4,513,5199,6249,16,-3,5,1614,-123,8030,4,-22,-18,955,-1864,7853,0.22482892870903015,4.887585639953613,1.0988706350326538,0.0
-21,-1,-9,151,143,8459,12,-13,-3,521,5203,6283,16,-8,6,1615,-132,8040,8,-24,-16,958,-1869,7848,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-20,2,-8,144,148,8459,10,-10,-2,527,5181,6247,15,1,9,1622,-116,8022,7,-21,-16,978,-1851,7843,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-19,0,-10,123,125,8419,11,-12,-1,512,5193,6282,17,-4,5,1615,-105,8031,10,-24,-21,968,-1830,7824,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-22,0,-8,138,152,8472,10,-10,0,513,5202,6244,17,-4,8,1617,-117,8018,9,-23,-16,965,-1821,7851,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-19,-1,-8,128,159,8415,11,-12,-2,522,5205,6283,18,6,6,1612,-103,8022,3,-18,-17,961,-1829,7848,0.22971652448177338,4.897360801696777,1.1250046491622925,0.0
-19,1,-7,118,143,8450,12,-14,-2,534,5187,6243,13,-3,8,1607,-89,8037,-1,-16,-19,960,-1853,7857,0.22482892870903015,4.877810478210449,1.0966728925704956,0.0
-20,-3,-7,147,160,8454,11,-12,-2,518,5201,6281,19,1,8,1624,-99,8033,4,-21,-19,963,-1853,7860,0.21994134783744812,4.897360801696777,1.0771321058273315,0.0
-21,-1,-6,120,161,8494,10,-13,-3,503,5161,6298,15,0,5,1623,-113,8012,-1,-19,-19,965,-1846,7837,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-20,2,-9,135,160,8452,11,-14,-3,503,5195,6293,19,0,7,1627,-108,8028,6,-20,-16,963,-1853,7842,0.22482892870903015,4.887585639953613,1.0988706350326538,0.0
-20,-2,-9,120,144,8460,13,-14,-3,498,5189,6215,17,1,6,1612,-116,8036,11,-26,-18,954,-1846,7851,0.22971652448177338,4.897360801696777,1.1250046491622925,0.0
