wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
-21,0,-7,155,157,8445,7,-12,-2,529,5145,6311,17,1,5,2305,119,7834,6,-24,-18,1156,-1517,7919,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-20,-3,-9,140,151,8463,5,-15,-4,493,5092,6399,18,-2,4,2287,124,7848,10,-21,-20,1136,-1584,7887,0.22482892870903015,4.887585639953613,1.0988706350326538,0.0
-18,-2,-7,147,147,8483,12,-11,-3,514,5108,6306,13,1,6,2265,125,7846,10,-19,-20,1134,-1558,7880,0.22482892870903015,4.887585639953613,1.0988706350326538,0.0
-27,0,-7,129,136,8476,14,-15,-2,544,5141,6268,20,-2,7,2266,132,7867,10,-22,-22,1124,-1559,7895,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-10,-5,-8,101,139,8443,7,-13,-3,533,5139,6347,18,-3,4,2249,147,7844,1,-22,-16,1138,-1551,7916,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-19,-1,-9,112,126,8460,10,-12,-1,549,5116,6320,15,-2,9,2264,145,7847,12,-19,-17,1149,-1570,7887,0.21994134783744812,4.897360801696777,1.0771321058273315,0.0
-21,-3,-8,114,155,8468,11,-12,-2,528,5115,6349,15,-1,5,2293,145,7831,10,-21,-15,1138,-1588,7896,0.21994134783744812,4.897360801696777,1.0771321058273315,0.0
-19,-3,-9,149,157,8502,9,-13,-2,542,5087,6350,15,0,7,2276,125,7855,6,-20,-18,1147,-1595,7888,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-37,2,-9,138,111,8449,10,-13,-3,543,5113,6351,18,-2,8,2290,109,7833,7,-20,-20,1123,-1570,7883,0.21994134783744812,4.887585639953613,1.0749821662902832,0.0
-21,0,-9,145,91,8454,11,-12,-4,526,5101,6301,22,-1,7,2269,109,7862,13,-27,-17,1147,-1583,7900,0.21994134783744812,4.897360801696777,1.0771321058273315,0.0
-21,1,-7,146,112,8475,14,-10,-3,532,5102,6320,18,-2,8,2278,94,7865,6,-19,-18,1126,-1560,7891,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-24,-1,-7,144,105,8473,19,-12,-2,528,5125,6325,22,-1,7,2270,110,7845,4,-16,-18,1121,-1578,7894,0.21994134783744812,4.887585639953613,1.0749821662902832,0.0
-25,1,-8,119,125,8465,18,-11,-2,500,5140,6301,19,-1,10,2267,118,7854,3,-16,-20,1117,-1583,7898,0.2346041053533554,4.887585639953613,1.1466476917266846,0.0
-20,-3,-8,145,109,8473,8,-11,-2,511,5097,6342,17,-1,7,2260,129,7863,7,-23,-18,1128,-1581,7883,0.2346041053533554,4.887585639953613,1.1466476917266846,0.0
-23,-2,-8,111,104,8486,4,-13,-2,513,5093,6369,21,-1,8,2262,136,7854,7,-23,-15,1148,-1595,7874,0.22482892870903015,4.887585639953613,1.0988706350326538,0.0
-22,0,-5,136,120,8485,9,-12,0,514,5105,6364,15,1,9,2268,134,7864,3,-20,-13,1151,-1603,7881,0.22482892870903015,4.877810478210449,1.0966728925704956,0.0
-23,-2,-6,124,149,8452,11,-10,3,523,5120,6299,18,-1,8,2308,140,7831,14,-22,-17,1144,-1575,7887,0.22482892870903015,4.877810478210449,1.0966728925704956,0.0
-21,-1,-9,117,209,8458,16,-8,3,529,5121,6291,17,0,7,2326,136,7833,11,-24,-19,1131,-1554,7913,0.21994134783744812,4.897360801696777,1.0771321058273315,0.0
-18,-1,-7,138,180,8487,19,-11,0,545,5152,6310,17,1,6,2309,135,7842,-2,-21,-11,1118,-1539,7908,0.21994134783744812,4.907135963439941,1.0792820453643799,0.0
-20,-2,-8,156,119,8463,12,-11,1,511,5151,6309,16,-2,6,2285,116,7852,4,-22,-16,1100,-1566,7893,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-16,-2,-8,137,91,8476,5,-12,0,515,5094,6331,17,6,6,2234,86,7858,4,-21,-16,1143,-1579,7875,0.21994134783744812,4.897360801696777,1.0771321058273315,0.0
