wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
-20,3,-11,-694,128,8386,10,-12,-2,532,5260,6259,19,-2,7,2377,216,7814,15,-18,-14,810,-2146,7780,0.3176930546760559,5.053763389587402,1.6055455207824707,0.0
-12,-1,24,-626,144,8423,5,-10,-2,518,5240,6216,18,4,8,2391,204,7823,9,-23,-15,812,-2122,7772,0.32258063554763794,5.043988227844238,1.627092957496643,0.0
3,1,17,-671,132,8432,8,-11,-2,509,5238,6242,16,-5,9,2360,194,7839,4,-18,-13,796,-2145,7758,0.3176930546760559,5.043988227844238,1.6024399995803833,0.0
5,-3,9,-637,98,8360,11,-10,-2,507,5247,6216,19,-7,5,2352,196,7821,10,-21,-16,808,-2150,7786,0.30791789293289185,5.043988227844238,1.5531342029571533,0.0
-16,-1,-5,-638,113,8375,8,-10,-1,527,5224,6212,22,4,10,2357,205,7837,6,-20,-15,803,-2155,7800,0.32746821641921997,5.043988227844238,1.6517457962036133,0.0
-21,3,-16,-630,104,8411,13,-12,-2,518,5262,6242,16,-6,6,2358,206,7821,4,-15,-15,803,-2145,7783,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
-19,-2,-23,-664,143,8381,11,-12,-3,532,5225,6229,16,-1,11,2395,213,7809,14,-20,-15,821,-2138,7783,0.30791789293289185,5.053763389587402,1.556144118309021,0.0
-22,-1,-17,-658,139,8407,11,-10,-4,506,5248,6221,18,2,6,2396,207,7823,6,-20,-13,812,-2135,7783,0.3128054738044739,5.043988227844238,1.577787160873413,0.0
-24,-1,2,-658,134,8431,10,-11,-2,506,5233,6215,18,-3,9,2394,208,7825,8,-21,-15,800,-2140,7766,0.3128054738044739,5.043988227844238,1.577787160873413,0.0
-22,0,10,-661,130,8382,10,-12,-2,514,5247,6227,18,-1,7,2375,207,7814,11,-23,-16,807,-2142,7770,0.30791789293289185,5.053763389587402,1.556144118309021,0.0
-13,-1,8,-671,144,8384,9,-13,-2,491,5238,6224,19,1,9,2373,208,7834,1,-21,-14,813,-2136,7791,0.3519061505794525,5.043988227844238,1.7750104665756226,0.0
-19,-1,-1,-643,136,8421,12,-10,-4,516,5226,6200,18,-2,6,2373,204,7830,8,-20,-15,809,-2140,7780,0.3128054738044739,5.043988227844238,1.577787160873413,0.0
-15,-4,-9,-647,128,8381,9,-10,-2,522,5240,6165,18,1,8,2369,201,7826,14,-25,-13,798,-2145,7790,0.3128054738044739,5.043988227844238,1.577787160873413,0.0
-11,-7,-12,-644,110,8423,11,-10,-2,517,5239,6229,17,2,6,2370,210,7822,6,-17,-16,811,-2144,7782,0.3176930546760559,5.043988227844238,1.6024399995803833,0.0
-16,-5,-10,-656,134,8395,11,-12,-3,532,5246,6251,18,-3,5,2365,200,7815,6,-18,-16,804,-2141,7763,0.3128054738044739,5.043988227844238,1.577787160873413,0.0
-25,-3,-14,-648,148,8416,11,-12,-2,533,5210,6217,18,2,7,2366,208,7816,8,-19,-15,812,-2133,7772,0.3030303120613098,5.053763389587402,1.531443476676941,0.0
-22,-3,-18,-659,128,8396,10,-13,-1,502,5229,6224,19,-6,6,2378,204,7828,8,-20,-14,814,-2128,7778,0.371456503868103,5.053763389587402,1.8772532939910889,0.0
-23,-4,-11,-647,118,8385,12,-9,-3,502,5241,6191,16,-3,4,2380,201,7805,9,-22,-14,812,-2128,7774,0.30791789293289185,5.053763389587402,1.556144118309021,0.0
-30,0,0,-642,137,8423,10,-9,-4,503,5226,6210,21,-2,6,2372,200,7813,17,-25,-17,807,-2134,7798,0.30791789293289185,5.053763389587402,1.556144118309021,0.0
-26,-3,8,-641,118,8417,12,-13,-2,529,5233,6212,19,5,4,2367,216,7824,5,-19,-12,819,-2144,7777,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
-28,-5,0,-676,123,8410,13,-12,-2,517,5232,6224,17,-4,5,2362,242,7827,4,-20,-12,810,-2142,7771,0.3128054738044739,5.043988227844238,1.577787160873413,0.0
-38,0,-34,-665,158,8378,12,-11,-3,507,5212,6212,17,0,6,2359,240,7806,9,-18,-11,804,-2132,7770,0.3176930546760559,5.043988227844238,1.6024399995803833,0.0
-48,7,-59,-684,141,8386,14,-11,-3,505,5234,6220,18,0,5,2383,244,7822,3,-17,-11,800,-2145,7764,0.366568922996521,5.053763389587402,1.8525526523590088,0.0
-30,7,-60,-675,118,8402,16,-12,-3,506,5239,6181,19,-7,8,2426,245,7792,6,-21,-14,808,-2137,7775,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
-20,5,-40,-675,164,8402,4,-11,-4,515,5240,6204,20,-3,5,2437,222,7799,7,-21,-18,816,-2138,7783,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
-35,7,-15,-651,124,8383,14,-12,-1,529,5244,6218,18,2,8,2383,206,7819,4,-19,-13,806,-2128,7789,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
-12,3,-14,-632,130,8401,5,-12,-4,537,5214,6212,15,-2,7,2353,177,7833,10,-16,-14,818,-2137,7785,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
-10,3,-27,-612,114,8394,12,-12,-1,513,5256,6218,15,-1,9,2346,170,7838,8,-18,-11,813,-2133,7786,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
-28,4,-31,-632,88,8410,9,-12,-4,519,5231,6235,21,-2,8,2359,156,7836,8,-16,-14,795,-2134,7796,0.3176930546760559,5.053763389587402,1.6055455207824707,0.0
-4,-12,-26,-637,116,8458,14,-12,-1,523,5228,6166,14,-1,8,2370,179,7817,4,-22,-15,797,-2145,7762,0.3176930546760559,5.053763389587402,1.6055455207824707,0.0
-13,-15,-15,-545,124,8416,8,-12,-1,498,5247,6203,18,1,9,2369,224,7822,11,-21,-12,814,-2142,7777,0.32746821641921997,5.043988227844238,1.6517457962036133,0.0
-52,3,-18,-676,117,8356,9,-12,-1,511,5234,6238,20,1,6,2381,264,7815,9,-17,-13,818,-2151,7796,0.32258063554763794,5.043988227844238,1.627092957496643,0.0
-26,2,-34,-681,112,8383,13,-11,-2,514,5244,6234,20,-4,13,2382,283,7816,9,-20,-16,809,-2135,7764,0.30791789293289185,5.053763389587402,1.556144118309021,0.0
-24,7,-39,-699,149,8407,7,-12,-2,528,5238,6220,14,-3,9,2423,258,7801,9,-22,-16,818,-2134,7782,0.3128054738044739,5.043988227844238,1.577787160873413,0.0
-28,14,-46,-684,112,8378,11,-13,-2,509,5260,6239,21,0,10,2415,243,7798,5,-16,-14,797,-2135,7774,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
-5,14,-42,-664,116,8450,11,-12,-2,523,5224,6202,17,0,6,2366,219,7815,9,-23,-13,814,-2144,7783,0.3128054738044739,5.043988227844238,1.577787160873413,0.0
-13,19,-30,-721,126,8408,8,-12,-2,521,5228,6228,13,3,7,2367,207,7823,14,-18,-14,814,-2138,7789,0.3128054738044739,5.043988227844238,1.577787160873413,0.0
-23,19,-33,-643,123,8400,6,-10,0,522,5233,6248,21,-3,10,2360,150,7829,4,-13,-15,806,-2151,7781,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
-9,5,-40,-562,133,8419,9,-13,-2,498,5234,6195,17,1,10,2371,143,7827,6,-19,-14,806,-2138,7773,0.3128054738044739,5.043988227844238,1.577787160873413,0.0
-19,1,-13,-584,120,8426,5,-10,-3,518,5255,6256,15,-10,6,2379,120,7829,13,-17,-14,801,-2137,7792,0.30791789293289185,5.043988227844238,1.5531342029571533,0.0
-6,-10,11,-656,133,8413,11,-11,-3,510,5247,6244,19,3,7,2348,170,7829,8,-17,-12,817,-2141,7770,0.30791789293289185,5.053763389587402,1.556144118309021,0.0
-5,-16,16,-657,118,8334,12,-9,-2,496,5233,6211,15,-1,8,2356,168,7821,10,-18,-15,801,-2130,7773,0.3128054738044739,5.043988227844238,1.577787160873413,0.0
-23,-14,6,-539,129,8372,11,-12,-2,513,5243,6248,14,0,4,2377,224,7826,10,-19,-16,810,-2138,7786,0.30791789293289185,5.043988227844238,1.5531342029571533,0.0
-39,-5,-1,-746,145,8413,12,-13,0,515,5239,6172,19,-3,6,2376,254,7819,5,-18,-16,803,-2146,7786,0.3030303120613098,5.053763389587402,1.531443476676941,0.0
-6,-11,-11,-658,96,8420,9,-10,-4,515,5233,6242,16,-4,5,2397,253,7807,9,-21,-13,811,-2138,7782,0.3128054738044739,5.043988227844238,1.577787160873413,0.0
-18,-1,-12,-656,127,8421,8,-11,-2,510,5227,6204,20,1,7,2396,252,7830,11,-22,-14,814,-2122,7786,0.30791789293289185,5.053763389587402,1.556144118309021,0.0
-44,11,-27,-672,133,8376,9,-12,-4,537,5248,6246,20,0,9,2372,257,7815,7,-19,-14,819,-2133,7774,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
-31,7,-31,-653,133,8383,12,-12,-1,518,5241,6160,15,-4,6,2385,211,7788,11,-17,-15,802,-2148,7761,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
-16,1,-21,-577,94,8393,7,-12,-2,500,5216,6232,21,1,9,2403,181,7826,7,-20,-16,806,-2139,7795,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
8,-6,-4,-625,117,8398,13,-13,-4,495,5233,6235,21,-1,7,2365,169,7824,11,-17,-12,800,-2149,7781,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
-14,-4,1,-625,132,8408,9,-14,-3,535,5255,6215,18,2,8,2348,170,7837,15,-18,-14,809,-2156,7786,0.3176930546760559,5.053763389587402,1.6055455207824707,0.0
-21,-7,-8,-647,99,8415,12,-11,-3,497,5224,6219,20,-1,4,2359,181,7831,10,-19,-13,812,-2124,7796,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
2,-14,-21,-654,125,8416,13,-12,-4,515,5216,6225,21,-3,6,2351,198,7843,5,-22,-16,813,-2131,7771,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
-39,0,-8,-718,178,8386,12,-11,-1,524,5233,6232,16,-5,7,2364,221,7814,13,-16,-12,817,-2127,7774,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
-41,-3,-19,-673,89,8415,10,-12,-3,510,5239,6175,21,3,6,2397,219,7820,9,-15,-14,820,-2119,7778,0.30791789293289185,5.053763389587402,1.556144118309021,0.0
-2,-13,-12,-657,119,8452,11,-10,-2,528,5237,6212,17,3,8,2397,230,7830,10,-19,-14,807,-2138,7781,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
-18,-2,-4,-643,127,8379,11,-12,-3,527,5228,6208,17,-5,6,2401,231,7808,12,-16,-11,788,-2143,7796,0.30791789293289185,5.053763389587402,1.556144118309021,0.0
-16,-1,8,-670,114,8379,10,-11,-4,525,5217,6225,21,8,7,2393,214,7827,5,-20,-10,819,-2140,7778,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
-11,-6,5,-661,126,8456,12,-11,-2,530,5220,6194,18,1,6,2363,220,7840,9,-16,-12,818,-2143,7774,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
