wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
-2723,1626,2091,-2514,-5238,-20,-4775,-485,1178,904,4996,-7196,3553,1844,2375,-3232,3974,1405,290,61,94,7817,1270,-620,0.3128054738044739,2.0,0.6256109476089478,746359.0
5969,81,3291,9887,2348,-4286,2174,1611,-392,1617,-1359,-4330,1648,-6710,3685,3351,-13197,-5703,192,310,-278,7890,-36,-1228,0.3176930546760559,2.0,0.6353861093521118,758015.0
5654,444,4683,8546,3984,-1577,959,475,266,1132,-593,-4129,2612,-6231,4313,3833,-10633,-3981,292,687,-328,8389,-45,-834,0.32258063554763794,2.0,0.6451612710952759,769707.0
5143,887,5748,8181,3032,313,432,-794,96,1348,-599,-4111,3814,-5953,4450,4930,-8467,-1223,550,638,-317,8325,92,-595,0.30791789293289185,2.0,0.6158357858657837,734720.0
4940,2281,6297,6765,2473,2719,-400,-2903,-158,678,-666,-4137,4542,-4858,5124,5537,-6012,4440,940,629,-359,7889,44,-899,0.30791789293289185,2.0,0.6158357858657837,734720.0
4172,3526,5753,4317,2138,4484,-911,-4784,-8,379,-1747,-4847,4756,-2752,5492,7726,-3891,8812,1119,411,-458,7382,41,-1104,0.2981427311897278,2.0,0.5962854623794556,711396.0
1722,5215,4809,1271,2373,6045,-938,-7520,860,790,-2857,-7331,5966,-448,4757,8357,2494,12187,1239,221,-525,7587,504,-1414,0.3030303120613098,2.0,0.6060606241226196,723058.0
-184,6724,4091,-2806,1390,6981,-509,-9337,1565,1542,-2693,-7431,5491,1950,3209,5916,9685,13217,1119,168,-542,7848,633,-1335,0.2981427311897278,2.0,0.5962854623794556,711396.0
-1771,6044,1303,-9997,-664,6405,-512,-9769,1542,2922,-163,-6212,4637,3541,2828,3285,13174,13557,844,165,-463,7811,702,-1207,0.3030303120613098,2.0,0.6060606241226196,723058.0
-3071,5917,-501,-15081,-3825,6383,-1869,-8332,968,4101,647,-5389,4155,5295,2818,1299,16472,13533,478,103,-446,7678,1295,-1121,0.3030303120613098,2.0,0.6060606241226196,723058.0
-3505,3618,-1445,-15735,-8529,5851,-4380,-4441,711,4436,-691,-7681,3672,7110,539,-1800,20797,12413,-105,143,-384,7351,1339,-918,0.3030303120613098,2.0,0.6060606241226196,723058.0
-4095,1459,-2173,-12264,-12120,6767,-5326,240,733,3767,-3669,-11371,1329,7040,-2813,-7419,22744,9984,-285,388,25,7965,81,-633,0.30791789293289185,2.0,0.6158357858657837,734720.0
-3802,-1398,-3675,-14342,-14192,4826,-4460,5279,53,1532,-5851,-13163,-1976,6149,-4117,-10567,18131,6923,164,576,52,7534,-831,-1233,0.3128054738044739,2.0,0.6256109476089478,746382.0
-3889,-3378,-5579,-12179,-14523,2400,-3241,6355,-817,80,-5839,-13608,-3677,5563,-4161,-12180,14577,4002,870,80,-190,6689,-543,-1780,0.3030303120613098,2.0,0.6060606241226196,723058.0
-4100,-4642,-6414,-6951,-16160,-2519,-1029,5989,-1873,-1996,-5646,-13632,-4297,6146,-4993,-11914,12506,832,1234,-198,-243,7634,-336,-2202,0.3030303120613098,2.0,0.6060606241226196,723058.0
-3462,-5806,-6532,-4009,-17204,-5859,121,4970,-2371,-2888,-5317,-12716,-5855,6855,-5618,-11946,10970,-5100,1274,-3,-237,7727,-545,-1897,0.3030303120613098,2.0,0.6060606241226196,723058.0
-1963,-8620,-6583,-1230,-15114,-5552,1171,4013,-2484,-3713,-5556,-12053,-7948,6189,-6205,-14767,5141,-12559,1616,-323,-373,6843,-500,-1900,0.30791789293289185,2.0,0.6158357858657837,734720.0
-965,-9345,-6153,2471,-12845,-6011,3162,3191,-2483,-3936,-5572,-11990,-7948,2216,-6096,-17228,-1256,-18219,1923,-679,-348,7173,-506,-1915,0.30791789293289185,2.0,0.6158357858657837,734720.0
95,-7670,-6166,6540,-11377,-7951,4930,2989,-2512,-3603,-4357,-12807,-5337,-2439,-6026,-16446,-7012,-20805,2620,-657,-151,7840,-738,-2308,0.30791789293289185,2.0,0.6158357858657837,734720.0
1941,-3946,-3960,11746,-12265,-9843,6136,682,-2408,-1809,-1703,-11112,-3177,-5887,-6144,-14516,-11564,-20148,2759,-552,-10,7787,-842,-3117,0.30791789293289185,2.0,0.6158357858657837,734720.0
3899,-2857,-1532,13852,-11241,-9415,5573,-2061,-2586,-54,45,-7954,-2491,-7919,-4430,-12111,-16352,-18511,2644,-716,-90,6791,-1172,-3109,0.30791789293289185,2.0,0.6158357858657837,734720.0
6399,-2840,730,13455,-6853,-7442,4297,-4187,-3463,774,-344,-6782,-2233,-10302,-1921,-6850,-18169,-14603,3391,-1179,271,7073,-1458,-3400,0.30791789293289185,2.0,0.6158357858657837,734720.0
7520,-3112,1783,11770,-3834,-6809,3781,-3487,-4472,1585,-696,-6982,-2571,-10954,1769,-2442,-18498,-10120,3774,-1106,923,8089,-1948,-3251,0.30791789293289185,2.0,0.6158357858657837,734720.0
8082,-4151,3674,10648,123,-4964,2968,-1588,-4816,2837,-1217,-6380,-2000,-10406,4820,1735,-18132,-6622,4702,-955,1095,8788,-3009,-4037,0.3030303120613098,2.0,0.6060606241226196,723058.0
7684,-4214,5252,10778,2353,-2481,2826,-1138,-3776,2797,-1976,-4803,-621,-9752,6403,4541,-15123,-4168,5350,-960,1002,8298,-984,-4239,0.3030303120613098,2.0,0.6060606241226196,723058.0
7080,-2877,6739,8500,3818,234,2467,-1611,-1944,698,-567,-5084,503,-8660,7214,8355,-10962,-509,3734,-1576,1070,6888,58,-5409,0.30791789293289185,2.0,0.6158357858657837,734720.0
6765,-2510,7190,6877,4917,2668,1733,-2703,-1458,-383,178,-5537,567,-6872,7554,10046,-7974,3819,3205,-1955,1664,6681,-3074,-5336,0.30791789293289185,2.0,0.6158357858657837,734720.0
5384,-2176,7218,6181,5245,5963,429,-5196,-1750,31,444,-5455,1529,-4525,7594,10398,-8042,9086,4326,-1979,1865,7457,-2763,-4586,0.30791789293289185,2.0,0.6158357858657837,734720.0
3437,-63,7039,5326,4175,8354,-206,-7109,-1959,1187,803,-5781,4734,-2510,7392,11127,-5613,12818,6068,-2283,1648,7431,-523,-4950,0.3128054738044739,2.0,0.6256109476089478,746382.0
1221,4229,5405,-3085,4353,8416,-1151,-8693,-1475,514,-625,-6614,6622,-422,8385,14255,4780,15020,6515,-2444,1293,6916,2273,-5367,0.3176930546760559,2.0,0.6353861093521118,758044.0
-369,5634,2670,-9715,5265,8654,-1106,-9736,-660,900,-260,-5230,5301,2798,6482,13957,20084,15046,6008,-2742,724,6469,5561,-6418,0.3128054738044739,2.0,0.6256109476089478,746382.0
-2350,3084,499,-17213,2718,10794,-2378,-7993,-1233,4106,2837,-3620,1235,5326,1326,8144,26136,16472,5403,-3667,-396,7655,7207,-5371,0.30791789293289185,2.0,0.6158357858657837,734720.0
-3184,-562,-1894,-20511,-3464,9967,-4816,-4899,-1805,3732,2629,-4854,-2762,6826,-305,4221,24532,17148,5823,-3448,-1017,10821,6480,-4155,0.3030303120613098,2.0,0.6060606241226196,723058.0
-3882,-3594,-3364,-19531,-9295,8171,-7229,-1374,-1840,3149,-1440,-10561,-4088,8490,-1102,698,19947,15357,6413,-2834,-1244,10852,5448,-2532,0.30791789293289185,2.0,0.6158357858657837,734720.0
-4716,-6314,-3557,-13980,-12701,6911,-7178,1474,-2090,2083,-4540,-14519,-4044,8989,-2083,-3387,17719,10624,6662,-2363,-1988,7911,4335,-2025,0.3030303120613098,2.0,0.6060606241226196,723058.0
-4822,-7136,-4304,-11261,-11315,5654,-6320,3745,-3103,1045,-6243,-15258,-4869,8462,-2833,-7585,15977,5728,6825,-2760,-2500,7188,3254,-2996,0.3030303120613098,2.0,0.6060606241226196,723058.0
-5139,-8264,-4875,-9192,-13271,1840,-3929,5279,-5313,-1756,-5514,-13928,-7441,7600,-3098,-10497,14770,-138,6325,-2821,-2237,8147,1299,-3131,0.30791789293289185,2.0,0.6158357858657837,734720.0
-4354,-10567,-5055,-8665,-15350,-1525,-2338,5610,-6876,-3502,-3606,-12313,-10752,6599,-2245,-12076,13387,-5783,5911,-2789,-2090,8279,202,-2840,0.3128054738044739,2.0,0.6256109476089478,746382.0
-2768,-13819,-4373,-5665,-15239,-5761,-1525,5587,-8250,-4753,-2254,-11341,-11883,5367,-1415,-14131,10113,-9201,6064,-2438,-2019,8211,108,-2750,0.3030303120613098,2.0,0.6060606241226196,723058.0
-1733,-14403,-3497,-2878,-15527,-7471,-917,5010,-8308,-4988,-3353,-11515,-11068,3900,-1290,-16557,9113,-11369,6194,-1894,-1850,8735,-519,-2255,0.30791789293289185,2.0,0.6158357858657837,734720.0
-634,-12779,-3241,-592,-14782,-7659,915,3833,-7934,-4904,-3565,-11767,-9995,936,-1816,-15781,8460,-11542,6552,-1330,-1561,7872,-2076,-1502,0.3176930546760559,2.0,0.6353861093521118,758044.0
468,-10852,-3505,-545,-13598,-8086,2825,2018,-7540,-4783,-2395,-11461,-8415,-1099,-2123,-13957,5335,-11128,7200,-1378,-1387,6184,-2341,-1939,0.3030303120613098,2.0,0.6060606241226196,723058.0
2033,-8229,-3336,-435,-11572,-7612,5119,-1075,-7234,-3650,366,-10628,-7364,-2149,-2266,-11948,5179,-8403,7397,-2270,-1424,5731,-1629,-2962,0.30791789293289185,2.0,0.6158357858657837,734720.0
2952,-7697,-3069,-1555,-10175,-6511,5535,-2732,-7218,-2983,2682,-10098,-7992,-2350,-1445,-9928,4488,-6324,7086,-2535,-1574,7460,202,-4441,0.30791789293289185,2.0,0.6158357858657837,734720.0
3721,-8665,-3215,-2144,-8904,-5448,4472,-3763,-7320,-2327,4732,-9736,-8808,-2094,-740,-8517,2551,-4543,5980,-2024,-1594,8905,1608,-5225,0.3030303120613098,2.0,0.6060606241226196,723058.0
4053,-9188,-2777,-797,-8132,-5311,3201,-4043,-7458,-1470,4921,-9712,-8464,-1541,35,-7962,617,-4085,5448,-1312,-1592,8118,1284,-3384,0.3030303120613098,2.0,0.6060606241226196,723058.0
4515,-8454,-2125,1259,-7401,-3629,1835,-3478,-7872,341,4109,-9802,-7194,-1613,31,-8591,-419,-3875,5747,-1677,-2077,7616,-668,-1806,0.30791789293289185,2.0,0.6158357858657837,734720.0
