wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
-24,84,-35,-2677,6593,-3911,8,8,-14,2707,7481,-2158,64,21,-36,6678,426,-4379,-43,-35,-77,7782,647,1475,0.2981427311897278,2.0,0.5962854623794556,711262.0
345,1186,-1501,-5853,7203,-5875,-232,-959,2333,3856,7499,-2685,1629,-887,-2453,8611,7496,-5140,183,-353,-90,7899,139,0,0.2981427311897278,2.0,0.5962854623794556,711260.0
385,1578,-2585,-6362,7437,-6048,-149,-1347,2840,4364,7160,-3059,1520,-789,-3092,9199,8709,-4732,195,-385,-104,7748,88,-139,0.29325512051582336,2.0,0.5865102410316467,699733.0
381,1882,-3367,-6786,7264,-6066,38,-1705,3092,4335,7040,-3602,1257,-410,-3819,9267,9033,-4491,272,-419,-105,7795,-115,-116,0.3176930546760559,2.0,0.6353861093521118,758044.0
368,2150,-4391,-7630,6816,-5646,437,-2107,3367,4659,6867,-4165,1337,-191,-4399,8754,8842,-4252,364,-362,-99,7995,-267,-122,0.2981427311897278,2.0,0.5962854623794556,711396.0
411,2433,-4985,-8315,6387,-5368,526,-1896,3357,5122,7548,-4478,1751,-84,-4808,8835,9076,-4147,506,-338,-88,7919,-379,-198,0.2981427311897278,2.0,0.5962854623794556,711396.0
800,2925,-5400,-9292,5344,-5474,3,-570,2692,4428,7870,-4359,2222,213,-5180,8412,9359,-4046,728,-345,-76,7950,-389,-197,0.2981427311897278,2.0,0.5962854623794556,711396.0
1222,2896,-5421,-9902,4951,-5597,-83,-11,2482,3733,7083,-4304,2328,680,-5458,7264,9994,-3812,876,-332,-49,7885,-337,-212,0.3030303120613098,2.0,0.6060606241226196,723058.0
1401,2112,-5694,-9906,4196,-4835,-137,940,1907,3093,6881,-4447,2073,674,-5478,6234,10210,-3593,977,-324,-13,7893,-216,-358,0.30791789293289185,2.0,0.6158357858657837,734720.0
1546,1601,-5980,-9289,3780,-4274,-199,1525,1414,2259,6172,-4376,1647,219,-5783,5419,10311,-3452,1069,-321,14,7801,133,-468,0.2981427311897278,2.0,0.5962854623794556,711396.0
1617,855,-6343,-8655,3210,-4318,283,1682,1068,2307,5878,-4350,1316,-60,-6000,5300,9801,-3230,1119,-303,20,7827,212,-425,0.30791789293289185,2.0,0.6158357858657837,734720.0
1659,570,-6800,-8615,2789,-4314,576,1633,845,2055,5729,-4456,1049,-226,-6108,5470,9845,-2567,1215,-320,5,7939,298,-335,0.3128054738044739,2.0,0.6256109476089478,746382.0
1759,548,-7231,-8718,2662,-4095,727,1553,747,1677,5522,-4236,698,-235,-6318,5483,9716,-2266,1309,-222,28,8051,505,-455,0.30791789293289185,2.0,0.6158357858657837,734720.0
1768,163,-7669,-9041,2672,-3602,1091,1321,596,1381,5343,-3772,664,-152,-6539,5708,9694,-1920,1341,-186,52,7942,733,-559,0.2981427311897278,2.0,0.5962854623794556,711396.0
1760,-96,-7889,-9054,2442,-3442,1431,1052,358,1666,5563,-3757,583,127,-6562,5572,9263,-1128,1308,-200,31,7613,833,-641,0.2981427311897278,2.0,0.5962854623794556,711396.0
1598,-561,-8095,-8877,2429,-3137,1645,937,-221,1721,5844,-3686,573,312,-6734,5237,9292,-1269,1260,-195,7,7731,837,-734,0.2981427311897278,2.0,0.5962854623794556,711396.0
1409,-723,-8295,-8496,2360,-2838,1827,750,-497,1986,5926,-3674,899,147,-7202,5001,9211,-1213,1223,-156,-46,7637,639,-852,0.30791789293289185,2.0,0.6158357858657837,734720.0
1418,-652,-8647,-8634,1936,-2840,2107,804,-830,2405,6293,-3663,1111,-63,-7382,5062,8787,-925,1298,-151,-108,7778,372,-1001,0.2981427311897278,2.0,0.5962854623794556,711396.0
1524,-563,-9030,-7951,1958,-2065,2291,1220,-1190,2496,6402,-3809,1208,-100,-7782,4375,8165,-884,1348,-122,-166,7939,-56,-1217,0.2981427311897278,2.0,0.5962854623794556,711396.0
1346,-960,-9056,-7596,1493,-1909,2464,1610,-1719,2296,6926,-3712,795,-340,-7842,4313,8041,-662,1353,-176,-156,7816,-365,-1349,0.30791789293289185,2.0,0.6158357858657837,734720.0
1257,-1127,-9130,-7080,1340,-1882,2618,1662,-2102,2100,7078,-3735,223,-361,-7973,4309,6977,-736,1387,-279,-132,7835,-476,-1345,0.2981427311897278,2.0,0.5962854623794556,711396.0
