wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
3,-299,129,-3023,5181,-5595,-67,-101,-144,5141,6679,123,-240,17,140,5575,1707,-5724,-100,-32,77,7461,-154,2639,0.3030303120613098,2.0,0.6060606241226196,723051.0
3289,1222,-5474,-3824,-4114,-5161,6151,-563,1153,6631,3468,-6215,-1227,-2663,-4526,-4371,4234,-3703,878,231,-61,7922,1075,937,0.3030303120613098,2.0,0.6060606241226196,723032.0
3264,1169,-5223,-3386,-4061,-3842,6151,-144,775,6430,3199,-6037,-1170,-3333,-4166,-5632,3692,-3820,956,278,-89,7899,983,915,0.3030303120613098,2.0,0.6060606241226196,723058.0
3103,1025,-4979,-2699,-4596,-4145,6111,254,549,6186,2859,-5958,-1158,-4731,-4008,-5735,3099,-3832,1000,298,-99,7674,873,884,0.30791789293289185,2.0,0.6158357858657837,734720.0
3148,866,-4583,-1637,-4895,-4866,5931,398,679,6272,2459,-6059,-941,-5478,-3996,-5404,2338,-3015,1069,217,-93,7638,873,854,0.3030303120613098,2.0,0.6060606241226196,723058.0
3321,929,-4174,-625,-5023,-4591,5704,436,903,6182,1871,-6090,-683,-5315,-3920,-5175,2391,-2064,1099,166,-94,7827,842,848,0.30791789293289185,2.0,0.6158357858657837,734720.0
3290,1134,-3983,-377,-5225,-4136,5655,306,917,6167,1274,-6112,-820,-5061,-3826,-5419,1739,-1528,1017,180,-101,7792,895,768,0.34213098883628845,2.0,0.6842619776725769,816356.0
3130,1302,-3746,-444,-5389,-3801,5743,110,811,6224,737,-6299,-872,-5485,-3510,-5991,1421,-921,1101,208,-91,7768,975,874,0.30791789293289185,2.0,0.6158357858657837,734720.0
3025,1373,-3662,-269,-5660,-4258,5788,-85,779,6296,738,-6347,-944,-5413,-3153,-5469,618,-365,1163,247,-94,7987,1132,983,0.3030303120613098,2.0,0.6060606241226196,723058.0
3062,1317,-3055,15,-5738,-4525,5598,-354,938,6803,446,-6390,-683,-5151,-2718,-5500,545,266,1128,266,-104,7786,1280,910,0.30791789293289185,2.0,0.6158357858657837,734720.0
3095,1204,-2813,-274,-5504,-4191,5507,-370,1031,7292,-218,-6283,-787,-4460,-2413,-5174,26,1392,1059,192,-113,7770,1431,984,0.30791789293289185,2.0,0.6158357858657837,734720.0
2933,455,-2402,134,-5091,-3190,5336,18,1081,7501,41,-5501,-782,-3754,-1894,-5362,-240,847,975,249,-161,8098,1421,1216,0.3030303120613098,2.0,0.6060606241226196,723058.0
2708,-35,-2232,827,-5063,-2862,4656,273,1074,7184,-247,-4794,-1088,-3675,-1290,-5497,-144,1448,840,196,-160,7831,1385,1386,0.3030303120613098,2.0,0.6060606241226196,723058.0
2520,-314,-2021,1082,-5174,-2881,4311,421,1039,6444,-775,-4608,-1310,-3510,-737,-5215,-427,1099,956,515,-222,8207,1285,1308,0.2981427311897278,2.0,0.5962854623794556,711396.0
2547,-300,-1970,1157,-4605,-3312,4200,481,1071,5972,-571,-4514,-1329,-3421,-445,-4837,-506,1177,880,501,-209,7558,1173,961,0.3030303120613098,2.0,0.6060606241226196,723058.0
2561,-410,-1891,1078,-4337,-3078,3957,331,923,5573,-734,-4050,-1331,-2699,-238,-4521,-269,1941,888,462,-210,8038,1184,1315,0.3128054738044739,2.0,0.6256109476089478,746382.0
2397,-676,-1807,1117,-4654,-2232,3631,-5,842,5476,-1338,-4054,-1282,-2085,-116,-4915,-828,1697,809,434,-208,7661,1320,1254,0.30791789293289185,2.0,0.6158357858657837,734720.0
2164,-937,-1653,1682,-4590,-1571,3833,-261,682,5790,-1708,-4239,-1197,-2708,53,-5371,-812,1119,776,502,-245,8018,1305,1265,0.3128054738044739,2.0,0.6256109476089478,746382.0
1904,-1051,-1506,2923,-4504,-1568,3377,-538,848,6156,-1500,-3878,-1461,-3108,-13,-4486,-692,2052,758,614,-298,7915,1386,1303,0.30791789293289185,2.0,0.6158357858657837,734720.0
1810,-879,-1450,3191,-4501,-1659,2766,-308,883,5881,-1591,-3509,-1620,-2935,-198,-4235,-1274,2693,686,591,-257,7598,1359,1292,0.30791789293289185,2.0,0.6158357858657837,734720.0
1779,-605,-1463,3011,-4668,-1405,2357,-184,655,5518,-2359,-3462,-1323,-2692,-255,-4257,-1814,3291,755,669,-242,7828,1295,1387,0.30791789293289185,2.0,0.6158357858657837,734720.0
1650,-476,-1499,2828,-4918,-1112,2266,-461,355,5663,-2480,-3404,-942,-2498,-154,-4517,-1659,3492,840,723,-210,7751,1406,1402,0.30791789293289185,2.0,0.6158357858657837,734720.0
1451,-573,-1392,2702,-5272,-838,2152,-766,177,6285,-2794,-3690,-897,-2475,7,-4466,-1352,3889,760,583,-115,7370,1411,1388,0.3176930546760559,2.0,0.6353861093521118,758044.0
