wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
-207,332,-332,-2297,7342,-3007,152,539,-136,1889,7795,-1917,288,94,-291,7382,1289,-3150,187,15,-39,7812,-125,-812,0.2981427311897278,2.0,0.5962854623794556,711258.0
785,-1171,-1242,-4138,6079,-3506,774,-429,264,1962,7310,-3041,-1401,-825,-1298,6991,3480,-2358,-289,193,-25,7863,830,-178,0.3030303120613098,2.0,0.6060606241226196,723043.0
855,-1044,-1190,-4342,6224,-3494,828,-418,196,1993,7511,-2812,-1272,-762,-1019,7112,3764,-2207,-340,195,-36,7839,766,-157,0.30791789293289185,2.0,0.6158357858657837,734720.0
927,-992,-1138,-4589,6282,-3462,696,-599,195,1766,7612,-2766,-1210,-710,-865,7064,4231,-2074,-374,203,-45,7853,739,-65,0.3128054738044739,2.0,0.6256109476089478,746382.0
962,-1170,-1138,-4800,6361,-3050,641,-640,187,1995,7393,-2738,-1368,-701,-890,6980,4743,-1897,-399,174,-61,7815,704,-19,0.34213098883628845,2.0,0.6842619776725769,816356.0
955,-1462,-1130,-4623,6312,-2872,712,-720,131,1929,7306,-2896,-1779,-617,-1067,7003,5043,-1565,-429,130,-66,7858,600,-35,0.2981427311897278,2.0,0.5962854623794556,711396.0
832,-2042,-1187,-4688,6387,-2894,695,-975,138,2108,7290,-2964,-2296,-538,-1272,7373,5235,-1162,-384,100,-71,7828,507,-18,0.2981427311897278,2.0,0.5962854623794556,711396.0
703,-2388,-1353,-5101,6312,-3215,664,-1202,164,2251,7387,-3037,-2651,-168,-1278,7725,5146,-1408,-320,82,-68,7819,412,7,0.2981427311897278,2.0,0.5962854623794556,711396.0
671,-2601,-1580,-5070,6340,-2999,458,-1339,147,2256,7456,-3149,-2658,341,-1301,7404,4929,-1345,-256,63,-49,7796,355,55,0.2981427311897278,2.0,0.5962854623794556,711396.0
599,-2675,-1656,-5034,6268,-2690,353,-1236,89,2369,7465,-3092,-2719,410,-1358,6868,5140,-1009,-198,96,-49,7974,333,103,0.2981427311897278,2.0,0.5962854623794556,711396.0
466,-2846,-1751,-5220,6129,-2207,332,-946,87,2524,7312,-3213,-2947,342,-1432,6739,4980,-765,-134,161,-55,7844,341,74,0.30791789293289185,2.0,0.6158357858657837,734720.0
313,-2960,-1839,-5428,6061,-2349,368,-821,149,2577,7206,-3396,-3110,322,-1430,6772,5198,-583,-153,95,-25,7829,400,97,0.3030303120613098,2.0,0.6060606241226196,723058.0
214,-2994,-1918,-5802,5720,-3038,331,-804,249,2361,7184,-3530,-2839,692,-1427,7478,5334,-930,-160,111,-8,7914,479,101,0.2981427311897278,2.0,0.5962854623794556,711396.0
215,-2932,-2071,-6292,5548,-3489,241,-793,241,2149,7315,-3395,-2445,974,-1361,7321,5982,-1271,-149,146,-9,7817,599,61,0.32746821641921997,2.0,0.6549364328384399,781369.0
272,-2790,-2454,-7026,5536,-3151,142,-784,127,1912,7545,-3219,-2104,1137,-1390,7160,7416,-1286,-160,116,0,7815,658,60,0.2981427311897278,2.0,0.5962854623794556,711396.0
242,-2659,-2788,-7666,5470,-2941,75,-848,9,1693,7257,-3084,-2340,1041,-1748,7310,8762,-1007,-158,93,3,7946,700,53,0.2981427311897278,2.0,0.5962854623794556,711396.0
306,-2651,-3142,-8514,5338,-3264,163,-1126,54,1433,6783,-3272,-2566,931,-2038,7463,9854,-1278,-176,80,2,7895,773,55,0.30791789293289185,2.0,0.6158357858657837,734720.0
457,-3205,-3629,-9250,5097,-3638,366,-1710,152,1425,6700,-3653,-2822,1128,-2486,7966,10264,-1829,-178,61,-16,7835,790,120,0.3030303120613098,2.0,0.6060606241226196,723058.0
686,-3429,-3916,-9608,5003,-3829,487,-1947,209,1412,7083,-3800,-2709,1317,-2904,8240,10362,-2082,-175,42,-27,7785,782,94,0.3030303120613098,2.0,0.6060606241226196,723058.0
1057,-3552,-4497,-10187,4632,-4243,455,-2151,207,1340,7495,-3744,-2291,1326,-3409,8277,10546,-2393,-165,11,-35,7822,661,96,0.2981427311897278,2.0,0.5962854623794556,711396.0
1422,-3270,-5049,-10165,4562,-3880,281,-2279,31,555,7412,-4026,-1892,1213,-4140,7927,10738,-2165,-120,17,-48,7913,625,93,0.3030303120613098,2.0,0.6060606241226196,723058.0
1878,-2979,-5745,-10063,4021,-3277,156,-2535,-174,1211,6513,-4489,-1810,763,-5099,7246,11154,-1881,-77,28,-47,7890,598,54,0.2981427311897278,2.0,0.5962854623794556,711396.0
2094,-3257,-6165,-10099,3873,-2654,440,-2487,-264,1023,6070,-4758,-2243,322,-5963,6716,11249,-1711,-56,20,-45,7864,527,75,0.3030303120613098,2.0,0.6060606241226196,723058.0
2295,-4223,-6577,-9741,3511,-1777,938,-2738,-332,250,6487,-5178,-3319,-153,-6525,6337,11453,-2270,-43,8,-48,7947,454,112,0.2981427311897278,2.0,0.5962854623794556,711396.0
2441,-4779,-6655,-9224,3294,-1213,956,-2885,-122,1057,6695,-5042,-4826,-979,-7092,5757,10984,-2910,-31,65,-46,7901,421,152,0.2981427311897278,2.0,0.5962854623794556,711396.0
2354,-4484,-6621,-8675,2608,-1387,890,-2488,-58,765,7109,-4869,-5665,-1651,-7734,5980,9442,-1957,-34,59,-54,7855,404,142,0.3030303120613098,2.0,0.6060606241226196,723058.0
2617,-4476,-6697,-8797,2244,-1241,716,-1947,-315,930,6506,-4475,-5604,-3089,-8119,5894,8857,-1171,-10,54,-57,7815,365,129,0.2981427311897278,2.0,0.5962854623794556,711396.0
2874,-4703,-6972,-8633,2279,-813,827,-1724,-718,282,6508,-4282,-6575,-3118,-7968,6808,8045,-1108,34,57,-50,7854,346,152,0.30791789293289185,2.0,0.6158357858657837,734720.0
3042,-5162,-7052,-7479,2392,505,891,-1541,-1390,-1149,7110,-4613,-7185,-3142,-7918,5390,6581,-716,85,74,-42,7882,325,221,0.30791789293289185,2.0,0.6158357858657837,734720.0
2949,-5357,-7040,-7150,1951,878,826,-1954,-1645,-574,7003,-4704,-7964,-3984,-7800,4604,5693,31,140,80,-29,7891,385,290,0.30791789293289185,2.0,0.6158357858657837,734720.0
2842,-5568,-6878,-6654,1587,1945,1174,-2099,-1651,499,6247,-4747,-8380,-4730,-7604,4658,4848,234,156,108,-14,7911,444,315,0.30791789293289185,2.0,0.6158357858657837,734720.0
2494,-5548,-6704,-6045,1441,2223,1611,-1893,-1753,448,6284,-5346,-8607,-5043,-7374,4277,3692,221,176,99,-1,7893,510,289,0.3030303120613098,2.0,0.6060606241226196,723058.0
1887,-4839,-6087,-5267,691,2455,1831,-2213,-1624,1276,6899,-5488,-8452,-5521,-7181,4348,2397,887,185,102,-7,7875,621,273,0.2981427311897278,2.0,0.5962854623794556,711396.0
1672,-4604,-6038,-5100,131,2272,1868,-1815,-1601,868,6930,-5172,-7367,-5744,-6877,4403,1291,2754,140,82,-13,7890,697,229,0.3030303120613098,2.0,0.6060606241226196,723058.0
1138,-4584,-5976,-5281,82,2590,1483,-1484,-747,-859,7056,-4883,-6044,-5577,-6145,4062,1789,3374,98,147,-36,7943,677,198,0.2981427311897278,2.0,0.5962854623794556,711396.0
712,-3810,-5380,-5343,-503,2545,1490,-1198,-478,1250,7264,-5098,-5805,-5044,-5244,4662,2449,4741,89,154,-32,7864,685,238,0.2981427311897278,2.0,0.5962854623794556,711396.0
479,-3347,-5403,-5761,-166,2873,1432,-1496,-668,61,6764,-5166,-5360,-3725,-4323,5627,1914,6945,80,82,-23,7798,671,263,0.2981427311897278,2.0,0.5962854623794556,711396.0
