wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
-26,1,-10,107,96,8442,12,-12,-1,487,5212,6214,14,1,9,2246,113,7849,1,-20,-16,978,-1768,7858,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-21,-3,-8,137,116,8450,12,-10,-3,508,5191,6279,15,-3,5,2276,110,7836,5,-23,-18,1005,-1774,7856,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-20,-1,-6,130,139,8482,14,-12,-1,515,5211,6316,17,-1,5,2263,114,7840,8,-24,-13,989,-1783,7886,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-22,-2,-8,119,106,8459,12,-13,-3,516,5217,6254,19,-3,7,2283,117,7857,9,-21,-17,980,-1774,7884,0.22971652448177338,4.897360801696777,1.1250046491622925,0.0
-22,-3,-9,139,107,8506,10,-11,-3,501,5201,6253,15,0,9,2284,117,7830,4,-22,-15,987,-1784,7891,0.22971652448177338,4.897360801696777,1.1250046491622925,0.0
-20,-1,-9,124,110,8469,12,-12,-3,528,5189,6252,15,-1,3,2289,119,7834,-1,-24,-20,999,-1794,7867,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-21,-3,-9,144,149,8472,9,-13,-1,515,5168,6310,18,-5,6,2289,121,7831,5,-20,-17,1000,-1778,7833,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-21,-1,-9,135,120,8467,9,-12,-3,529,5164,6285,14,-1,9,2282,119,7834,0,-19,-15,983,-1771,7832,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-20,-1,-7,125,115,8455,11,-13,-3,541,5222,6242,16,0,6,2275,111,7847,3,-19,-16,991,-1780,7863,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-21,0,-9,127,129,8444,14,-13,-4,503,5198,6281,17,-4,8,2275,122,7838,7,-21,-16,978,-1773,7861,0.22971652448177338,4.887585639953613,1.122759222984314,0.0
-20,0,-8,119,110,8449,13,-11,-3,497,5180,6286,17,-1,4,2281,116,7836,8,-23,-18,989,-1784,7889,0.22971652448177338,4.887585639953613,1.122759222984314,0.0
-20,0,-7,104,138,8442,9,-10,-5,517,5190,6266,16,0,9,2282,120,7850,8,-24,-17,1006,-1792,7871,0.23949168622493744,4.877810478210449,1.1681950092315674,0.0
-20,-2,-7,129,132,8491,11,-16,-2,522,5188,6284,17,1,5,2293,113,7832,17,-22,-12,1005,-1778,7875,0.2346041053533554,4.897360801696777,1.148940920829773,0.0
-20,-1,-7,139,158,8473,10,-12,-3,556,5195,6282,20,-2,7,2282,120,7834,3,-25,-17,1000,-1778,7855,0.21994134783744812,4.887585639953613,1.0749821662902832,0.0
-19,0,-8,133,120,8477,10,-12,-1,518,5192,6254,17,0,6,2269,110,7852,8,-22,-15,986,-1778,7856,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-20,-2,-8,130,117,8464,12,-12,-2,524,5207,6251,14,-5,5,2267,102,7845,4,-26,-15,993,-1769,7863,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
-22,-4,-8,138,133,8456,10,-13,0,512,5196,6283,15,1,5,2283,112,7835,3,-19,-18,994,-1780,7881,0.22482892870903015,4.907135963439941,1.1032661199569702,0.0
-20,-2,-6,145,135,8459,12,-11,-4,513,5195,6273,14,2,7,2298,121,7836,10,-20,-19,1006,-1792,7896,0.22482892870903015,4.897360801696777,1.101068377494812,0.0
